Psychrobacter_sp_P11F6	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3470205	176	6233	0.179615	0.00194455	40.7	26.9
MS11670	1	3470205	115	4090	0.11786	0.00128292	40.7	27
MS11673	1	3470205	142	5573	0.160596	0.00170019	40.5	28.7
MS11674	1	3470205	1444	55453	1.59797	0.0163117	40.8	28.8
MS11675	1	3470205	77475	1690921	48.7268	1.07018	40.2	29.6
MS11676	1	3470205	4797	188292	5.42596	0.0581764	40.7	29
MS11677	1	3470205	317	12631	0.363984	0.00374012	40.7	28.4
MS11678	1	3470205	6632	270100	7.7834	0.0847163	40.6	29.3
MS11679	1	3470205	91	3018	0.0869689	0.000978328	40.8	26.7
MS11683	1	3470205	87	3101	0.0893607	0.000942307	40.6	27.6
MS11684	1	3470205	80	2833	0.0816378	0.000841449	40.8	25.9
MS11686	1	3470205	58	1994	0.0574606	0.000620424	40.9	28.7
MS11770	1	3470205	102	3772	0.108697	0.00117284	40.6	28.1
MS11771	1	3470205	4320	186103	5.36288	0.0572257	40.4	29.9
MS11774	1	3470205	1448	62485	1.80061	0.0184321	40.6	29.2
MS11775	1	3470205	39869	1067262	30.755	0.473142	40.7	29.5
