Psychrobacter_sp_WY6	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	3458001	322	7771	0.224725	0.00379468	40.6	29.8
MS11670	1	3458001	102	3586	0.103702	0.00110353	40.9	27.2
MS11673	1	3458001	137	5710	0.165124	0.00170792	40.5	27.5
MS11674	1	3458001	1236	47544	1.3749	0.014037	40.8	27.8
MS11675	1	3458001	62037	1447794	41.8679	0.851801	40.2	28.5
MS11676	1	3458001	4104	159730	4.61914	0.0495474	40.8	28.1
MS11677	1	3458001	282	10329	0.298699	0.0031978	40.8	27.3
MS11678	1	3458001	5344	218813	6.32773	0.0682507	40.6	28.5
MS11679	1	3458001	59	2142	0.0619433	0.000640254	40.9	27.1
MS11683	1	3458001	72	2466	0.0713129	0.00076952	40.5	27.2
MS11684	1	3458001	69	2482	0.0717756	0.000745517	40.5	27.5
MS11686	1	3458001	51	1798	0.0519954	0.000534702	40.9	27.5
MS11770	1	3458001	78	2939	0.0849913	0.000849913	40.8	28.7
MS11771	1	3458001	3571	153351	4.43467	0.0472192	40.3	28.6
MS11774	1	3458001	1134	48016	1.38855	0.0142594	40.5	28.4
MS11775	1	3458001	32559	906541	26.2158	0.386394	40.7	28.5
