Shewanella_baltica	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	5288069	270	7940	0.150149	0.00181541	40.9	26
MS11670	1	5288069	725	30266	0.572345	0.00581762	40.7	28.6
MS11673	1	5288069	132	4017	0.0759635	0.000905624	40.9	27.4
MS11674	1	5288069	1131	43086	0.814778	0.00833007	40.9	28.1
MS11675	1	5288069	21517	715476	13.53	0.182593	40.4	29.2
MS11676	1	5288069	950	36212	0.684787	0.00713531	40.8	28
MS11677	1	5288069	198	6193	0.117113	0.00135702	40.9	26.5
MS11678	1	5288069	262	10119	0.191355	0.00204574	40.6	28
MS11679	1	5288069	141	4561	0.0862508	0.000989019	40.8	26
MS11683	1	5288069	183	5706	0.107903	0.00126341	40.9	26.5
MS11684	1	5288069	205	6343	0.119949	0.00145384	40.8	26.7
MS11686	1	5288069	97	3419	0.064655	0.000674916	40.7	27.4
MS11770	1	5288069	92	2530	0.0478436	0.000638229	40.9	27.1
MS11771	1	5288069	31268	1102655	20.8518	0.255177	40.7	31.3
MS11774	1	5288069	1550	65909	1.24637	0.012802	40.5	30.1
MS11775	1	5288069	11266	345087	6.52577	0.0896741	40.6	27.7
