Shewanella_putrefaciens	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4386330	257	7153	0.163075	0.00210654	40.9	26.2
MS11670	1	4386330	1045	44337	1.0108	0.0103775	40.7	32.8
MS11673	1	4386330	117	3513	0.0800897	0.000952961	40.9	26.3
MS11674	1	4386330	485	17365	0.395889	0.0041244	40.9	26.8
MS11675	1	4386330	5213	159490	3.63607	0.0490367	40.7	26.6
MS11676	1	4386330	484	16748	0.381823	0.00418573	40.9	27
MS11677	1	4386330	230	6629	0.151129	0.00184003	41	26.6
MS11678	1	4386330	177	5302	0.120876	0.00147527	40.9	26.5
MS11679	1	4386330	221	5998	0.136743	0.00180105	40.9	26.3
MS11683	1	4386330	246	6551	0.14935	0.00200897	40.8	26.7
MS11684	1	4386330	224	6512	0.148461	0.00179786	40.9	26.7
MS11686	1	4386330	114	3266	0.0744586	0.000898929	41	26.4
MS11770	1	4386330	117	3503	0.0798618	0.000918764	40.9	26.5
MS11771	1	4386330	1732	58125	1.32514	0.0155606	40.8	27.1
MS11774	1	4386330	402	14454	0.329524	0.00358227	40.8	27
MS11775	1	4386330	4692	138947	3.16773	0.0418662	40.8	26.7
