Shewanella_sp_Pdp11	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
MS11669	1	4973697	259	6549	0.131673	0.00185858	41	26.7
MS11670	1	4973697	657	26859	0.540021	0.00559825	40.7	28.5
MS11673	1	4973697	107	2988	0.060076	0.000754569	41	26
MS11674	1	4973697	643	23424	0.470958	0.00488047	40.9	26.5
MS11675	1	4973697	9728	314044	6.3141	0.0848254	40.6	26.9
MS11676	1	4973697	661	24682	0.496251	0.00527776	40.8	26.9
MS11677	1	4973697	192	5360	0.107767	0.00136739	41	25.6
MS11678	1	4973697	177	5699	0.114583	0.00133723	40.9	27
MS11679	1	4973697	203	6126	0.123168	0.00149406	40.8	26.4
MS11683	1	4973697	173	5177	0.104088	0.00126847	40.9	26.3
MS11684	1	4973697	179	5240	0.105354	0.00130748	40.8	26.3
MS11686	1	4973697	94	3052	0.0613628	0.00068058	40.9	27
MS11770	1	4973697	100	2809	0.0564771	0.000727427	40.9	26.2
MS11771	1	4973697	15969	595003	11.963	0.137379	40.7	30.2
MS11774	1	4973697	917	37466	0.753283	0.00787402	40.5	28.7
MS11775	1	4973697	6875	209366	4.20946	0.0565016	40.7	26.4
