name,taxonomy_id,taxonomy_lvl,Blank1_WH_minimizer_filtered.bracken_num,Blank1_WH_minimizer_filtered.bracken_frac,Blank2_WH_minimizer_filtered.bracken_num,Blank2_WH_minimizer_filtered.bracken_frac,KH_blank_1_minimizer_filtered.bracken_num,KH_blank_1_minimizer_filtered.bracken_frac,KH_blank_2_minimizer_filtered.bracken_num,KH_blank_2_minimizer_filtered.bracken_frac,LB_blank_1_minimizer_filtered.bracken_num,LB_blank_1_minimizer_filtered.bracken_frac,LB_blank_2_minimizer_filtered.bracken_num,LB_blank_2_minimizer_filtered.bracken_frac,MS10790_minimizer_filtered.bracken_num,MS10790_minimizer_filtered.bracken_frac,MS10902_minimizer_filtered.bracken_num,MS10902_minimizer_filtered.bracken_frac,MS10903_minimizer_filtered.bracken_num,MS10903_minimizer_filtered.bracken_frac,MS10904_minimizer_filtered.bracken_num,MS10904_minimizer_filtered.bracken_frac,MS11102_minimizer_filtered.bracken_num,MS11102_minimizer_filtered.bracken_frac,MS11103_minimizer_filtered.bracken_num,MS11103_minimizer_filtered.bracken_frac,MS11107_minimizer_filtered.bracken_num,MS11107_minimizer_filtered.bracken_frac,MS11108_minimizer_filtered.bracken_num,MS11108_minimizer_filtered.bracken_frac
Paraburkholderia aromaticivorans,2026199,S,591,0.83357,437,0.32539,0,0.00000,0,0.00000,3493,0.13741,7601,0.12727,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,147,0.00020,0,0.00000
Mesorhizobium terrae,2725666,S,118,0.16643,0,0.00000,542,0.23034,442,0.21078,493,0.01939,1012,0.01694,0,0.00000,146,0.00229,216,0.00232,1700,0.02022,159,0.00010,0,0.00000,216,0.00029,237,0.00019
Burkholderia ubonensis,101571,S,0,0.00000,632,0.47059,0,0.00000,0,0.00000,1881,0.07399,3825,0.06404,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,265,0.00035,80,0.00006
Burkholderia multivorans,87883,S,0,0.00000,274,0.20402,0,0.00000,0,0.00000,578,0.02274,1273,0.02131,0,0.00000,0,0.00000,0,0.00000,0,0.00000,124,0.00007,0,0.00000,216,0.00029,115,0.00009
Acidovorax sp. KKS102,358220,S,0,0.00000,0,0.00000,478,0.20314,438,0.20887,260,0.01023,614,0.01028,0,0.00000,0,0.00000,0,0.00000,681,0.00810,0,0.00000,0,0.00000,0,0.00000,199,0.00016
Staphylococcus hominis,1290,S,0,0.00000,0,0.00000,272,0.11560,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,1872,0.02009,1113,0.01324,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Flavobacterium sp. CECT 9288,2845819,S,0,0.00000,0,0.00000,176,0.07480,175,0.08345,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Staphylococcus epidermidis,1282,S,0,0.00000,0,0.00000,130,0.05525,0,0.00000,0,0.00000,69,0.00116,0,0.00000,0,0.00000,0,0.00000,547,0.00651,0,0.00000,0,0.00000,0,0.00000,280,0.00023
Mesorhizobium sp. PAMC28654,2880934,S,0,0.00000,0,0.00000,125,0.05312,141,0.06724,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,87,0.00012,59,0.00005
Curvibacter sp. AEP1-3,1844971,S,0,0.00000,0,0.00000,123,0.05227,149,0.07105,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,120,0.00143,0,0.00000,0,0.00000,0,0.00000,22,0.00002
Flavobacterium ammonificans,1751056,S,0,0.00000,0,0.00000,123,0.05227,177,0.08441,113,0.00445,251,0.00420,0,0.00000,76,0.00119,0,0.00000,414,0.00492,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Dyella caseinilytica,1849581,S,0,0.00000,0,0.00000,97,0.04122,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,27,0.00002,0,0.00000,0,0.00000,39,0.00003
Cutibacterium acnes,1747,S,0,0.00000,0,0.00000,88,0.03740,306,0.14592,0,0.00000,2188,0.03663,0,0.00000,0,0.00000,0,0.00000,749,0.00891,345,0.00021,278,0.00031,1620,0.00215,1214,0.00099
Mesorhizobium sp. Pch-S,2082387,S,0,0.00000,0,0.00000,66,0.02805,115,0.05484,290,0.01141,682,0.01142,0,0.00000,60,0.00094,100,0.00107,678,0.00806,130,0.00008,0,0.00000,112,0.00015,83,0.00007
Gordonia polyisoprenivorans,84595,S,0,0.00000,0,0.00000,52,0.02210,71,0.03386,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,126,0.00008,80,0.00009,125,0.00017,99,0.00008
Flavobacterium sp. CHNK8,2871165,S,0,0.00000,0,0.00000,46,0.01955,83,0.03958,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Staphylococcus pettenkoferi,170573,S,0,0.00000,0,0.00000,35,0.01487,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Burkholderia vietnamiensis,60552,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,3492,0.13737,8024,0.13435,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Burkholderia cenocepacia,95486,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,2038,0.08017,3139,0.05256,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Pseudomonas aeruginosa,287,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,1865,0.07336,3108,0.05204,0,0.00000,0,0.00000,0,0.00000,3203,0.03809,3170,0.00191,0,0.00000,3266,0.00434,8473,0.00688
Burkholderia contaminans,488447,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,1507,0.05928,2770,0.04638,0,0.00000,0,0.00000,0,0.00000,0,0.00000,276,0.00017,0,0.00000,508,0.00068,113,0.00009
Pandoraea pnomenusa,93220,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,976,0.03839,1693,0.02835,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,705,0.00094,0,0.00000
Burkholderia pseudomallei,28450,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,928,0.03651,1781,0.02982,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,269,0.00036,0,0.00000
Burkholderia territorii,1503055,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,835,0.03285,1756,0.02940,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Methylorubrum extorquens,408,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,762,0.02998,1497,0.02506,0,0.00000,0,0.00000,0,0.00000,0,0.00000,140,0.00008,99,0.00011,263,0.00035,129,0.00010
Burkholderia ambifaria,152480,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,660,0.02596,992,0.01661,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Burkholderia stagnalis,1503054,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,629,0.02474,1187,0.01987,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,92,0.00012,0,0.00000
Paraburkholderia fungorum,134537,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,443,0.01743,1008,0.01688,0,0.00000,0,0.00000,0,0.00000,206,0.00245,311,0.00019,0,0.00000,324,0.00043,182,0.00015
Burkholderia cepacia,292,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,416,0.01636,846,0.01416,0,0.00000,0,0.00000,0,0.00000,0,0.00000,168,0.00010,0,0.00000,247,0.00033,0,0.00000
Burkholderia pyrrocinia,60550,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,412,0.01621,943,0.01579,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,176,0.00023,0,0.00000
Burkholderia anthina,179879,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,404,0.01589,948,0.01587,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Burkholderia stabilis,95485,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,347,0.01365,598,0.01001,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,149,0.00012
Methylobacterium sp. FF17,2984843,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,265,0.01042,76,0.00127,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,148,0.00020,49,0.00004
Burkholderia pseudomultivorans,1207504,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,203,0.00799,359,0.00601,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Burkholderia dolosa,152500,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,180,0.00708,428,0.00717,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Cupriavidus metallidurans,119219,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,177,0.00696,393,0.00658,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,777,0.00103,0,0.00000
Acidovorax sp. FHTAMBA,3140252,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,166,0.00653,143,0.00239,0,0.00000,0,0.00000,0,0.00000,335,0.00398,0,0.00000,0,0.00000,0,0.00000,108,0.00009
Burkholderia sp. FERM BP-3421,1494466,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,165,0.00649,238,0.00398,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Paraburkholderia phytofirmans,261302,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,154,0.00606,290,0.00486,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Burkholderia lata,482957,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,147,0.00578,280,0.00469,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Burkholderia latens,488446,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,137,0.00539,306,0.00512,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Burkholderia mayonis,1385591,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,123,0.00484,184,0.00308,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,95,0.00013,0,0.00000
Leptospira sp. severe_002,2838237,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,120,0.00472,130,0.00218,0,0.00000,0,0.00000,0,0.00000,0,0.00000,316,0.00019,0,0.00000,1072,0.00143,108,0.00009
Burkholderia thailandensis,57975,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,113,0.00445,262,0.00439,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,113,0.00015,0,0.00000
Burkholderia diffusa,488732,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,91,0.00358,192,0.00321,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
