name,taxonomy_id,taxonomy_lvl,MS11669_minimizer_filtered.bracken_num,MS11669_minimizer_filtered.bracken_frac,MS11670_minimizer_filtered.bracken_num,MS11670_minimizer_filtered.bracken_frac,MS11673_minimizer_filtered.bracken_num,MS11673_minimizer_filtered.bracken_frac,MS11674_minimizer_filtered.bracken_num,MS11674_minimizer_filtered.bracken_frac,MS11675_minimizer_filtered.bracken_num,MS11675_minimizer_filtered.bracken_frac,MS11676_minimizer_filtered.bracken_num,MS11676_minimizer_filtered.bracken_frac,MS11677_minimizer_filtered.bracken_num,MS11677_minimizer_filtered.bracken_frac,MS11678_minimizer_filtered.bracken_num,MS11678_minimizer_filtered.bracken_frac,MS11679_minimizer_filtered.bracken_num,MS11679_minimizer_filtered.bracken_frac,MS11683_minimizer_filtered.bracken_num,MS11683_minimizer_filtered.bracken_frac,MS11684_minimizer_filtered.bracken_num,MS11684_minimizer_filtered.bracken_frac,MS11686_minimizer_filtered.bracken_num,MS11686_minimizer_filtered.bracken_frac,MS11770_minimizer_filtered.bracken_num,MS11770_minimizer_filtered.bracken_frac,MS11771_minimizer_filtered.bracken_num,MS11771_minimizer_filtered.bracken_frac,MS11774_minimizer_filtered.bracken_num,MS11774_minimizer_filtered.bracken_frac,MS11775_minimizer_filtered.bracken_num,MS11775_minimizer_filtered.bracken_frac
Clostridium perfringens,1502,S,77055,0.06570,91352,0.16107,25246,0.06043,86779,0.13903,302133,0.08991,60123,0.06066,147625,0.21218,90363,0.07350,183423,0.11205,145200,0.11323,16795,0.01430,61905,0.07509,15362,0.02131,42662,0.01289,87519,0.05209,343040,0.14663
Arcobacter suis,1278212,S,41273,0.03519,780,0.00138,0,0.00000,0,0.00000,68,0.00002,51,0.00005,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,83,0.00005,70,0.00003
Arthrobacter sp. Helios,2828862,S,32359,0.02759,0,0.00000,0,0.00000,0,0.00000,12502,0.00372,31,0.00003,246,0.00035,27,0.00002,299,0.00018,145,0.00011,307,0.00026,27,0.00003,575,0.00080,1784,0.00054,0,0.00000,2283,0.00098
Rhodococcus erythropolis,1833,S,31101,0.02652,335,0.00059,0,0.00000,0,0.00000,36863,0.01097,322,0.00032,1332,0.00191,524,0.00043,1297,0.00079,768,0.00060,505,0.00043,0,0.00000,1862,0.00258,2748,0.00083,486,0.00029,1474,0.00063
Hydrogenophaga sp. BPS33,2651974,S,28559,0.02435,202,0.00036,612,0.00146,82,0.00013,219,0.00007,527,0.00053,1638,0.00235,1246,0.00101,298,0.00018,387,0.00030,196,0.00017,3105,0.00377,639,0.00089,210,0.00006,331,0.00020,643,0.00027
Rhodococcus qingshengii,334542,S,23265,0.01984,0,0.00000,0,0.00000,0,0.00000,36338,0.01081,453,0.00046,1576,0.00227,1431,0.00116,6633,0.00405,4307,0.00336,2713,0.00231,0,0.00000,3670,0.00509,5504,0.00166,767,0.00046,1738,0.00074
Arcobacter venerupis,1054033,S,21676,0.01848,389,0.00069,0,0.00000,0,0.00000,0,0.00000,35,0.00004,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Rhodococcus globerulus,33008,S,18438,0.01572,339,0.00060,784,0.00188,282,0.00045,35101,0.01045,1449,0.00146,2048,0.00294,2535,0.00206,1080,0.00066,169,0.00013,464,0.00039,0,0.00000,2456,0.00341,1051,0.00032,1023,0.00061,2914,0.00125
Serratia proteamaculans,28151,S,17918,0.01528,0,0.00000,0,0.00000,0,0.00000,53,0.00002,0,0.00000,0,0.00000,821,0.00067,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,534,0.00016,0,0.00000,254,0.00011
Sphingomonas sp. KC8,1030157,S,17724,0.01511,115,0.00020,0,0.00000,0,0.00000,0,0.00000,225,0.00023,0,0.00000,0,0.00000,38,0.00002,40,0.00003,0,0.00000,50,0.00006,0,0.00000,0,0.00000,84,0.00005,225,0.00010
Shinella zoogloeoides,352475,S,17623,0.01503,715,0.00126,1810,0.00433,0,0.00000,0,0.00000,1227,0.00124,567,0.00081,533,0.00043,2055,0.00126,1111,0.00087,611,0.00052,486,0.00059,480,0.00067,440,0.00013,479,0.00029,999,0.00043
Aliarcobacter butzleri,28197,S,17178,0.01465,115,0.00020,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,49,0.00002
Brevundimonas bullata,13160,S,15527,0.01324,1350,0.00238,0,0.00000,0,0.00000,4531,0.00135,3691,0.00372,1143,0.00164,1156,0.00094,1607,0.00098,252,0.00020,886,0.00075,3864,0.00469,9170,0.01272,41679,0.01260,1092,0.00065,797,0.00034
Oerskovia sp. KBS0722,1179673,S,14863,0.01267,856,0.00151,2082,0.00498,107,0.00017,103352,0.03076,561,0.00057,13860,0.01992,213,0.00017,60875,0.03719,28815,0.02247,15416,0.01312,904,0.00110,17499,0.02427,2447,0.00074,2543,0.00151,5691,0.00243
Stenotrophomonas rhizophila,216778,S,14780,0.01260,73,0.00013,0,0.00000,235,0.00038,11124,0.00331,1201,0.00121,643,0.00092,17172,0.01397,7044,0.00430,835,0.00065,21239,0.01808,1437,0.00174,22229,0.03083,285629,0.08632,1176,0.00070,398,0.00017
Nocardioides sp. LMS-CY,2840457,S,12907,0.01100,0,0.00000,0,0.00000,0,0.00000,100,0.00003,32,0.00003,588,0.00085,1809,0.00147,18464,0.01128,7996,0.00624,436,0.00037,2957,0.00359,83,0.00012,838,0.00025,99,0.00006,107,0.00005
Psychrobacillus sp. FSL K6-2843,2921549,S,12296,0.01048,0,0.00000,0,0.00000,0,0.00000,10495,0.00312,1640,0.00165,0,0.00000,0,0.00000,811,0.00050,1316,0.00103,5478,0.00466,2684,0.00326,666,0.00092,11685,0.00353,0,0.00000,317,0.00014
Bifidobacterium longum,216816,S,12289,0.01048,0,0.00000,0,0.00000,0,0.00000,407,0.00012,0,0.00000,235,0.00034,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,29,0.00002,91,0.00004
Arcobacter sp. L,944547,S,12102,0.01032,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Micromonospora peucetia,47871,S,10349,0.00882,226,0.00040,7914,0.01894,639,0.00102,8485,0.00253,19760,0.01994,9207,0.01323,46253,0.03762,48993,0.02993,33606,0.02621,2945,0.00251,839,0.00102,7993,0.01109,8763,0.00265,12063,0.00718,753,0.00032
Sphingomonas sp. MM-1,745310,S,10103,0.00861,0,0.00000,0,0.00000,0,0.00000,0,0.00000,611,0.00062,0,0.00000,0,0.00000,0,0.00000,693,0.00054,0,0.00000,0,0.00000,0,0.00000,0,0.00000,506,0.00030,0,0.00000
Aliarcobacter cryaerophilus,28198,S,9443,0.00805,147,0.00026,0,0.00000,0,0.00000,0,0.00000,822,0.00083,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,106,0.00006,259,0.00011
Streptomyces anulatus,1892,S,8972,0.00765,0,0.00000,0,0.00000,881,0.00141,46532,0.01385,913,0.00092,889,0.00128,1554,0.00126,378,0.00023,223,0.00017,9495,0.00808,79,0.00010,5589,0.00775,299,0.00009,1292,0.00077,633,0.00027
Psychrobacillus sp. AK 1817,2303505,S,8703,0.00742,0,0.00000,0,0.00000,0,0.00000,7663,0.00228,1097,0.00111,0,0.00000,0,0.00000,416,0.00025,928,0.00072,3913,0.00333,1338,0.00162,331,0.00046,7503,0.00227,0,0.00000,406,0.00017
Staphylococcus equorum,246432,S,8687,0.00741,1008,0.00178,956,0.00229,11468,0.01837,132,0.00004,16194,0.01634,3941,0.00566,12419,0.01010,0,0.00000,0,0.00000,1519,0.00129,0,0.00000,706,0.00098,1508,0.00046,0,0.00000,6939,0.00297
Escherichia coli,562,S,8655,0.00738,117078,0.20643,26211,0.06274,187284,0.30004,186755,0.05558,254189,0.25645,28270,0.04063,143444,0.11668,94370,0.05765,61453,0.04792,569521,0.48475,56821,0.06892,140317,0.19461,1294351,0.39115,291705,0.17362,14626,0.00625
Hydrogenophaga sp. PBL-H3,434010,S,8538,0.00728,290,0.00051,491,0.00118,0,0.00000,177,0.00005,331,0.00033,714,0.00103,487,0.00040,144,0.00009,155,0.00012,76,0.00006,1743,0.00211,369,0.00051,172,0.00005,259,0.00015,902,0.00039
Streptomyces sp. OUCMDZ-3434,1535304,S,8097,0.00690,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,9794,0.00598,10895,0.00850,6154,0.00524,39859,0.04835,34211,0.04745,2667,0.00081,0,0.00000,0,0.00000
Paraclostridium sordellii,1505,S,7155,0.00610,34436,0.06072,1141,0.00273,7855,0.01258,10340,0.00308,19757,0.01993,2360,0.00339,4260,0.00347,1787,0.00109,1253,0.00098,3654,0.00311,12198,0.01480,4938,0.00685,7673,0.00232,4421,0.00263,6069,0.00259
Arcobacter acticola,1849015,S,7004,0.00597,160,0.00028,0,0.00000,0,0.00000,0,0.00000,19,0.00002,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,28,0.00001
Pseudomonas aeruginosa,287,S,6664,0.00568,2070,0.00365,2959,0.00708,476,0.00076,1625,0.00048,869,0.00088,3695,0.00531,1403,0.00114,6235,0.00381,2956,0.00231,1484,0.00126,1093,0.00133,3080,0.00427,6286,0.00190,3406,0.00203,2098,0.00090
Sphingopyxis terrae,33052,S,6618,0.00564,0,0.00000,0,0.00000,0,0.00000,334,0.00010,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,308,0.00043,0,0.00000,0,0.00000,0,0.00000
Poseidonibacter parvus,1850254,S,6383,0.00544,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Arcobacter peruensis,2320140,S,6297,0.00537,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Streptomyces microflavus,1919,S,6252,0.00533,0,0.00000,2117,0.00507,0,0.00000,9772,0.00291,0,0.00000,3844,0.00552,2154,0.00175,805,0.00049,1524,0.00119,921,0.00078,84,0.00010,2568,0.00356,115,0.00003,17072,0.01016,3497,0.00149
Klebsiella pneumoniae,573,S,6024,0.00514,3489,0.00615,4587,0.01098,134,0.00021,2148,0.00064,927,0.00094,0,0.00000,2607,0.00212,451,0.00028,0,0.00000,1189,0.00101,0,0.00000,827,0.00115,1822,0.00055,1367,0.00081,32180,0.01376
Citrobacter freundii,546,S,5933,0.00506,855,0.00151,0,0.00000,434,0.00070,47660,0.01418,19749,0.01993,1638,0.00235,1464,0.00119,4880,0.00298,1441,0.00112,14894,0.01268,10173,0.01234,3196,0.00443,650,0.00020,36362,0.02164,444,0.00019
Sphingopyxis granuli,267128,S,5866,0.00500,0,0.00000,0,0.00000,0,0.00000,412,0.00012,1014,0.00102,654,0.00094,0,0.00000,644,0.00039,460,0.00036,0,0.00000,616,0.00075,762,0.00106,0,0.00000,0,0.00000,0,0.00000
Sphingopyxis macrogoltabida,33050,S,5828,0.00497,0,0.00000,0,0.00000,0,0.00000,366,0.00011,753,0.00076,172,0.00025,727,0.00059,353,0.00022,171,0.00013,407,0.00035,505,0.00061,454,0.00063,256,0.00008,313,0.00019,498,0.00021
Aminobacter sp. SR38,2774562,S,5748,0.00490,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,1369,0.00111,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Sphingopyxis sp. MG,1866325,S,5605,0.00478,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Mammaliicoccus sciuri,1296,S,5362,0.00457,53,0.00009,112,0.00027,992,0.00159,8391,0.00250,132,0.00013,958,0.00138,187,0.00015,322,0.00020,263,0.00021,70,0.00006,620,0.00075,258,0.00036,47,0.00001,82,0.00005,23,0.00001
