pos	5pC>T
1	0.14073199527745
2	0.061246828200408
3	0.0369898584096811
4	0.0436332677060608
5	0.0275827252283262
6	0.0283084232406216
7	0.0213001383125864
8	0.0197641355521372
9	0.0201326272601498
10	0.0172633688621663
11	0.0166128077920896
12	0.0165581139345014
13	0.0137170397145373
14	0.0157875011711796
15	0.0166674469778548
16	0.0166379270168243
17	0.0153853348297793
18	0.0149758902077151
19	0.016239907727797
20	0.0149321472336949
21	0.0155549455576905
22	0.0151480376405784
23	0.0159426987060998
24	0.0177915842982208
25	0.0163494157557482
