pos	3pG>A
1	0.00982896060676418
2	0.00276424904567592
3	0.00208135378489661
4	0.00251759988810667
5	0.00208182861027319
6	0.00202477944366774
7	0.00160605118640555
8	0.00214603506935357
9	0.00177447975479916
10	0.00201300712294828
11	0.0017402876593131
12	0.00184520247356872
13	0.00209716882209018
14	0.00179425837320574
15	0.00174668130551951
16	0.0017547377920385
17	0.00152191558441558
18	0.00173921939741163
19	0.0014142842711385
20	0.00150715900527506
21	0.00182269252189763
22	0.00178837555886736
23	0.00277183427348765
24	0.00220989048764917
25	0.00215601724813799
