clade_name	SRR14842325_jun23_nreads.metaphlan	SRR14842328_jun23_nreads.metaphlan	SRR14842338_jun23_nreads.metaphlan	SRR14842341_jun23_nreads.metaphlan	SRR14842352_jun23_nreads.metaphlan	SRR14842361_jun23_nreads.metaphlan	SRR14842362_jun23_nreads.metaphlan	SRR14842364_jun23_nreads.metaphlan	SRR14842368_jun23_nreads.metaphlan	SRR14842376_jun23_nreads.metaphlan	SRR14842383_jun23_nreads.metaphlan	SRR14842385_jun23_nreads.metaphlan	SRR14842389_jun23_nreads.metaphlan	SRR14842396_jun23_nreads.metaphlan	SRR14842399_jun23_nreads.metaphlan	SRR14842401_jun23_nreads.metaphlan	SRR14842403_jun23_nreads.metaphlan	SRR14842426_jun23_nreads.metaphlan	SRR1944873_jun23_nreads.metaphlan	SRR1952058_jun23_nreads.metaphlan	SRR1952418_jun23_nreads.metaphlan	SRR1952501_jun23_nreads.metaphlan	SRR1952518_jun23_nreads.metaphlan	SRR1952531_jun23_nreads.metaphlan	SRR1952562_jun23_nreads.metaphlan	SRR2175647_jun23_nreads.metaphlan	SRR2175649_jun23_nreads.metaphlan	SRR2175658_jun23_nreads.metaphlan	SRR2175723_jun23_nreads.metaphlan	SRR2175724_jun23_nreads.metaphlan	SRR2175749_jun23_nreads.metaphlan	SRR2175755_jun23_nreads.metaphlan	SRR2175756_jun23_nreads.metaphlan	SRR2175764_jun23_nreads.metaphlan	SRR2175766_jun23_nreads.metaphlan	SRR2175773_jun23_nreads.metaphlan	SRR2175774_jun23_nreads.metaphlan	SRR2175792_jun23_nreads.metaphlan
s__Phocaeicola_coprophilus	13.42898	0.0	4.89	4.16515	0.82046	0.35531	0.11159	0.0	0.0	0.03612	0.0	0.0	0.72218	7.50521	0.0	0.49075	0.17315	9.74595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23501	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Phocaeicola_plebeius	6.73354	0.0	2.37116	4.59666	0.0	3.32659	1.03196	6.2854	0.25996	14.15506	0.76915	0.0	0.79912	1.0174	0.0	0.36008	0.25681	2.5631	0.0	0.0	0.0	0.0	19.31575	0.0	0.0	0.0	0.0	0.0	18.43004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.6349
s__Clostridium_celatum	6.50807	0.0	0.0	0.25258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB9739_SGB15313	6.06306	4.7606	2.48361	11.3707	1.48079	0.75282	1.66931	1.06693	1.38709	4.04164	0.02093	0.88349	0.7541	9.71137	0.0	0.21632	0.0	9.77394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Collinsella_intestinalis	5.9609	1.21271	0.15386	2.14498	18.55688	0.71879	1.46011	12.12809	4.66328	20.07486	1.63838	0.0	1.98504	2.21631	1.4447	4.54861	12.38995	1.92674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Phocaeicola_faecicola	4.45706	0.0	0.38795	1.92102	0.01603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34973	0.0	0.0	0.0	2.72891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_saudiense	4.37049	0.75359	5.01915	0.75887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23623	0.0	0.0	0.0	0.0	0.0	0.43804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_disporicum	3.9501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_eggerthii	2.94499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.50099	0.0	13.54491	0.46092	0.0	0.0	0.0	0.0	0.0	0.26103	0.0	0.0	0.0
s__GGB3680_SGB4994	2.72497	1.77719	0.052	3.24757	0.05785	0.41654	0.5454	0.0	0.30895	0.40423	0.0	0.0	0.01343	2.7647	0.0	0.69237	0.0	3.27262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
