clade_name	KH_blank_1_jun23_nreads	KH_blank_2_jun23_nreads	LB_blank_1_jun23_nreads	LB_blank_2_jun23_nreads	MS10790_jun23_nreads	MS10902_jun23_nreads	MS10903_jun23_nreads	MS10904_jun23_nreads	MS11102_jun23_nreads	MS11103_jun23_nreads	MS11107_jun23_nreads	MS11108_jun23_nreads	WH_blank_1_jun23_nreads	WH_blank_2_jun23_nreads
s__Cutibacterium_acnes	0.0	0.0	0.0	51.15283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Methylorubrum_extorquens	0.0	0.0	0.0	32.08224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Phreatobacter_oligotrophus	0.0	0.0	0.0	8.41812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Mesorhizobium_amorphae	0.0	0.0	0.0	8.34682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptosporangium_violaceochromogenes	0.0	0.0	0.0	0.0	63.27505	56.09052	64.74209	18.47667	81.23431	47.2137	4.61688	3.93304	0.0	0.0
s__Peribacillus_simplex	0.0	0.0	0.0	0.0	6.2616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Metabacillus_idriensis	0.0	0.0	0.0	0.0	5.33011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Afipia_sp_Root123D2	0.0	0.0	0.0	0.0	4.48664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Peribacillus_frigoritolerans	0.0	0.0	0.0	0.0	4.05125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Chryseosolibacter_histidini	0.0	0.0	0.0	0.0	3.03017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pseudoxanthomonas_mexicana	0.0	0.0	0.0	0.0	2.13124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Chitinophaga_alhagiae	0.0	0.0	0.0	0.0	1.96068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Gottfriedia_solisilvae	0.0	0.0	0.0	0.0	1.94998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Exiguobacterium_sibiricum	0.0	0.0	0.0	0.0	1.6425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Mesorhizobium_sp_YM1C_6_2	0.0	0.0	0.0	0.0	1.02655	0.0	0.0	0.0	0.0	0.0	0.0	0.04076	0.0	0.0
s__Chitinophaga_sp_GbtcB8	0.0	0.0	0.0	0.0	0.84176	0.0	0.0	0.0	0.06745	0.0	0.0	0.0	0.0	0.0
s__Bosea_thiooxidans	0.0	0.0	0.0	0.0	0.77982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptomyces_sp_136MFCol5_1	0.0	0.0	0.0	0.0	0.65432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Neobacillus_niacini	0.0	0.0	0.0	0.0	0.62093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacillus_sp_FJAT_22090	0.0	0.0	0.0	0.0	0.47782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB2582_SGB3495	0.0	0.0	0.0	0.0	0.45769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacillus_sp_AFS031507	0.0	0.0	0.0	0.0	0.2844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacillus_sp_EAC	0.0	0.0	0.0	0.0	0.17607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Vitreimonas_flagellata	0.0	0.0	0.0	0.0	0.15263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pseudoxanthomonas_yeongjuensis	0.0	0.0	0.0	0.0	0.13484	0.0	0.0	0.0	0.0	0.0	0.0	0.10241	0.0	0.0
s__Bacillus_sp_FJAT_26652	0.0	0.0	0.0	0.0	0.10063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Niabella_pedocola	0.0	0.0	0.0	0.0	0.07648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Citrobacter_braakii	0.0	0.0	0.0	0.0	0.06795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Sphingopyxis_sp_GW247_27LB	0.0	0.0	0.0	0.0	0.0289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomadura_citrea	0.0	0.0	0.0	0.0	0.0	22.08534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB32963_SGB71265	0.0	0.0	0.0	0.0	0.0	10.07435	6.19579	0.0	0.6581	0.80514	4.64336	0.31734	0.0	0.0
s__GGB32910_SGB54460	0.0	0.0	0.0	0.0	0.0	4.31103	11.00731	0.0	0.50059	0.1129	6.48338	0.24837	0.0	0.0
s__GGB32963_SGB54433	0.0	0.0	0.0	0.0	0.0	2.90958	0.0	0.0	0.2382	0.46233	1.7917	0.20265	0.0	0.0
s__Streptosporangium_pseudovulgare	0.0	0.0	0.0	0.0	0.0	2.01838	3.19725	0.0	0.8157	3.81622	0.33862	0.33255	0.0	0.0
s__Streptosporangium_saharense	0.0	0.0	0.0	0.0	0.0	1.52833	1.23159	0.0	0.4966	2.13263	0.18573	0.19741	0.0	0.0
