clade_name	Blank1_WH_jun23_nreads.metaphlan	Blank2_WH_jun23_nreads.metaphlan	KH_blank_1_jun23_nreads.metaphlan	KH_blank_2_jun23_nreads.metaphlan	LB_blank_1_jun23_nreads.metaphlan	LB_blank_2_jun23_nreads.metaphlan	MS10790_jun23_nreads.metaphlan	MS10902_jun23_nreads.metaphlan	MS10903_jun23_nreads.metaphlan	MS10904_jun23_nreads.metaphlan	MS11102_jun23_nreads.metaphlan	MS11103_jun23_nreads.metaphlan	MS11107_jun23_nreads.metaphlan	MS11108_jun23_nreads.metaphlan
s__Cutibacterium_acnes	0.0	0.0	0.0	0.0	0.0	53.96172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Methylorubrum_extorquens	0.0	0.0	0.0	0.0	0.0	29.74427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Phreatobacter_oligotrophus	0.0	0.0	0.0	0.0	0.0	8.50796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Mesorhizobium_amorphae	0.0	0.0	0.0	0.0	0.0	7.78605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptosporangium_violaceochromogenes	0.0	0.0	0.0	0.0	0.0	0.0	63.29817	56.26756	64.72805	18.83866	81.53097	48.25018	4.78844	4.03546
s__Peribacillus_simplex	0.0	0.0	0.0	0.0	0.0	0.0	6.24461	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Metabacillus_idriensis	0.0	0.0	0.0	0.0	0.0	0.0	5.31567	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Afipia_sp_Root123D2	0.0	0.0	0.0	0.0	0.0	0.0	4.4745	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Peribacillus_frigoritolerans	0.0	0.0	0.0	0.0	0.0	0.0	4.04027	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Chryseosolibacter_histidini	0.0	0.0	0.0	0.0	0.0	0.0	3.04267	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pseudoxanthomonas_mexicana	0.0	0.0	0.0	0.0	0.0	0.0	2.16919	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Gottfriedia_solisilvae	0.0	0.0	0.0	0.0	0.0	0.0	1.95664	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Chitinophaga_alhagiae	0.0	0.0	0.0	0.0	0.0	0.0	1.95538	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Exiguobacterium_sibiricum	0.0	0.0	0.0	0.0	0.0	0.0	1.63805	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Mesorhizobium_sp_YM1C_6_2	0.0	0.0	0.0	0.0	0.0	0.0	1.02377	0.0	0.0	0.0	0.0	0.0	0.0	0.03638
s__Chitinophaga_sp_GbtcB8	0.0	0.0	0.0	0.0	0.0	0.0	0.83948	0.0	0.0	0.0	0.0588	0.0	0.0	0.0
s__Bosea_thiooxidans	0.0	0.0	0.0	0.0	0.0	0.0	0.77771	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptomyces_sp_136MFCol5_1	0.0	0.0	0.0	0.0	0.0	0.0	0.65255	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Neobacillus_niacini	0.0	0.0	0.0	0.0	0.0	0.0	0.61925	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacillus_sp_FJAT_22090	0.0	0.0	0.0	0.0	0.0	0.0	0.47652	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB2582_SGB3495	0.0	0.0	0.0	0.0	0.0	0.0	0.45645	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacillus_sp_AFS031507	0.0	0.0	0.0	0.0	0.0	0.0	0.28363	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacillus_sp_EAC	0.0	0.0	0.0	0.0	0.0	0.0	0.17559	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Vitreimonas_flagellata	0.0	0.0	0.0	0.0	0.0	0.0	0.15222	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pseudoxanthomonas_yeongjuensis	0.0	0.0	0.0	0.0	0.0	0.0	0.13447	0.0	0.0	0.0	0.0	0.0	0.0	0.1023
s__Bacillus_sp_FJAT_26652	0.0	0.0	0.0	0.0	0.0	0.0	0.10036	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Niabella_pedocola	0.0	0.0	0.0	0.0	0.0	0.0	0.07627	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Citrobacter_braakii	0.0	0.0	0.0	0.0	0.0	0.0	0.06777	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Sphingopyxis_sp_GW247_27LB	0.0	0.0	0.0	0.0	0.0	0.0	0.02882	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomadura_citrea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.99581	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB32963_SGB71265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.03351	6.19824	0.0	0.65605	0.71661	4.60169	0.29937
s__GGB32910_SGB54460	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.29356	11.01168	0.0	0.49536	0.10063	6.49907	0.25278
s__GGB32963_SGB54433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.89778	0.0	0.0	0.24497	0.41149	1.82134	0.2289
s__Streptosporangium_pseudovulgare	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.01022	3.19854	0.0	0.8483	3.86253	0.33849	0.33649
s__Streptosporangium_saharense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.52307	1.23209	0.0	0.49641	2.21898	0.18876	0.18888
s__Stackebrandtia_nassauensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97849	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB16996_SGB25597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.38645	0.0	0.0	0.0	0.0	0.0
s__GGB91291_SGB134920	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.99866	0.0	0.05849	0.0	0.20099	0.02496
s__Streptosporangium_roseum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24628	0.0	0.36343	1.00579	0.09661	0.09481
s__GGB92440_SGB133106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.06713	0.0	0.0	0.48066	0.09547
s__Sutcliffiella_halmapala	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.6936	0.0	0.0	0.0	0.0
s__GGB7499_SGB138240	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.15497	0.0	0.0	0.0	0.0
s__Afipia_felis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4796	0.0	0.0	0.0	0.0
s__Starkeya_sp_ORNL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46941	0.0	0.0	0.0	0.0
s__Hyphomicrobium_sp_CS1BSMeth3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29663	0.0	0.0	0.0	0.0
s__GGB53673_SGB74810	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.77455	11.89639	8.8409	10.31018
s__Nitrososphaerales_archaeon_TH5893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.80787	6.01603	13.30976	4.24497
s__GGB53671_SGB122549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00573	12.50616	4.46965	16.40246
s__Kibdelosporangium_sp_MJ126_NF4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83691	0.0	0.0	0.0
s__GGB93439_SGB131938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71923	1.44179	8.15506	1.69213
s__GGB52786_SGB73699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.50478	0.17272	5.34258	3.87307
s__GGB53661_SGB74794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49282	0.0	0.0	2.25243
s__Thermobispora_bispora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32476	1.21043	0.0599	0.11902
s__GGB91399_SGB134831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24643	0.32174	2.10745	0.60778
s__Hyphomicrobium_album	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2293	0.72236	0.79664	0.53142
s__GGB64512_SGB129861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14305	0.17065	0.6016	0.54811
s__Acinetobacter_johnsonii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13885	0.0	0.0	0.0
s__Streptosporangium_subroseum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11399	0.34838	0.03305	0.03491
s__GGB94458_SGB128668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10607	0.36583	0.17708	0.08039
s__GGB94865_SGB129202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1023	0.32496	1.0685	0.54102
s__Nitrososphaerales_unclassified_SGB74812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0944	0.75393	0.05384	0.0
s__Phyllobacteriaceae_bacterium_SYSU_D60010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09224	0.14351	0.0	0.04809
s__Thermostaphylospora_chromogena	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08251	0.25202	0.02251	0.03168
s__Nitrososphaerales_archaeon_TH5896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07728	1.04932	0.0	0.05437
s__GGB15815_SGB24062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07376	0.0	1.00891	0.08901
s__GGB64869_SGB87702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07217	0.02013	0.05106	0.02809
s__Nitrospira_sp_SCGC_AG_212_E16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06779	0.1265	0.6191	0.09621
s__Nitrososphaerales_unclassified_SGB69554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06746	0.19895	0.26201	0.13569
s__GGB91384_SGB134809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06349	0.0	0.68367	0.09381
s__GGB44132_SGB129180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05742	0.16828	0.42276	0.39262
s__Streptosporangium_amethystogenes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05332	0.16483	0.02035	0.00936
s__Rhodospirillaceae_bacterium_SYSU_D60009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05128	0.0638	0.391	0.07523
