clade_name	MS11669_jun23_over50bp.metaphlan	MS11670_jun23_over50bp.metaphlan	MS11673_jun23_over50bp.metaphlan	MS11674_jun23_over50bp.metaphlan	MS11675_jun23_over50bp.metaphlan	MS11676_jun23_over50bp.metaphlan	MS11677_jun23_over50bp.metaphlan	MS11678_jun23_over50bp.metaphlan	MS11679_jun23_over50bp.metaphlan	MS11683_jun23_over50bp.metaphlan	MS11684_jun23_over50bp.metaphlan	MS11686_jun23_over50bp.metaphlan	MS11770_jun23_over50bp.metaphlan	MS11771_jun23_over50bp.metaphlan	MS11774_jun23_over50bp.metaphlan	MS11775_jun23_over50bp.metaphlan
s__Arcobacter_caeni	48.14182	0.94586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB16996_SGB25597	9.88693	2.20781	31.46655	8.29591	6.55732	5.24564	19.13137	7.51001	4.78687	0.0	0.0	22.99229	2.3978	0.28837	1.08441	1.92819
s__GGB32963_SGB54433	9.28887	0.34782	1.26343	0.1744	0.13993	0.05985	0.0	0.16331	0.20827	0.13508	0.22539	0.21702	0.99356	0.29589	0.23634	0.02137
s__Clostridium_perfringens	3.19543	10.10515	2.63484	10.60817	5.1083	1.90392	11.94924	2.60759	13.3917	13.49685	0.82004	3.28989	1.1744	1.31876	3.06428	3.2681
s__Myroides_guanonis	2.60901	0.0	0.0	0.0	0.49319	0.0987	0.0	0.0	0.19342	0.0	0.0	0.0	0.0	0.1392	0.02257	0.0
s__Oerskovia_enterophila	2.4715	0.0	0.22666	0.0	2.97323	0.0	0.85977	0.0	1.20775	0.61319	0.0	0.0	4.24738	0.0	0.0	0.06273
s__GGB93439_SGB131938	2.171	0.31399	5.60357	0.39582	0.43708	0.38726	3.74466	0.12309	0.01002	0.86402	0.13263	0.0	18.1161	1.08688	1.11233	0.1241
s__GGB91291_SGB134920	2.00085	2.0089	8.2381	0.41645	0.5555	0.08604	0.74213	0.39084	2.97319	5.05551	4.15836	2.12793	4.38844	0.37882	0.38322	0.17371
s__GGB32963_SGB71265	1.71358	0.66013	3.30138	0.02789	0.28583	0.04266	0.16483	0.3196	0.5665	0.59408	0.68099	0.56983	2.6644	0.6732	0.69875	0.05192
s__Rhodococcus_qingshengii	1.6972	0.0	0.0	0.0	0.46443	0.0	0.0	0.0	0.21874	0.06348	0.0	0.0	0.0	0.0	0.0	0.0
