clade_name	MS11669_jun23_nreads	MS11670_jun23_nreads	MS11673_jun23_nreads	MS11674_jun23_nreads	MS11675_jun23_nreads	MS11676_jun23_nreads	MS11677_jun23_nreads	MS11678_jun23_nreads	MS11679_jun23_nreads	MS11683_jun23_nreads	MS11684_jun23_nreads	MS11686_jun23_nreads	MS11770_jun23_nreads	MS11771_jun23_nreads	MS11774_jun23_nreads	MS11775_jun23_nreads
s__Arcobacter_caeni	38.988	1.55522	0.0	0.0	0.0	0.01495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0068	0.0
s__GGB32963_SGB54433	7.11294	0.57377	1.47541	0.32333	0.18202	0.10256	0.19382	0.23977	0.21724	0.25156	0.33262	0.26078	0.92897	0.35243	0.30326	0.03448
s__GGB16996_SGB25597	5.79277	1.72482	12.90976	3.91567	4.12408	2.31953	7.9585	4.10327	2.22235	0.02132	0.0	11.98606	1.20296	0.25084	0.56645	1.47494
s__Clostridium_perfringens	2.88174	8.55808	1.94756	10.39011	4.38435	1.75699	10.4195	2.27821	9.57997	8.59426	0.84127	2.66267	1.32689	1.31952	2.84915	3.34841
s__Oerskovia_enterophila	2.58902	0.0	0.95142	0.0	3.28594	0.01333	1.30801	0.0	1.23139	0.61543	0.07251	0.0	4.39963	0.0	0.04566	0.08718
s__Myroides_guanonis	2.51319	0.06384	0.0	0.0	0.39549	0.08927	0.0	0.0	0.19648	0.0	0.0	0.0	0.0	0.14099	0.03888	0.00155
s__GGB91291_SGB134920	2.16907	2.77925	7.61974	0.58661	0.60991	0.15774	0.5838	0.45637	2.21514	3.62179	2.93399	1.72612	3.2891	0.42923	0.48674	0.24302
s__GGB93439_SGB131938	2.04558	0.45511	3.70726	0.48708	0.49951	0.32756	2.33285	0.1558	0.06994	0.6718	0.20651	0.03157	9.72472	0.87622	0.74946	0.14992
s__GGB91375_SGB134870	1.71047	1.48198	1.56949	0.09445	0.47704	0.06484	0.2185	0.47468	1.50908	11.2627	0.77408	0.29318	3.47262	0.22765	0.8813	0.13911
s__Rhodococcus_qingshengii	1.70835	0.0	0.0	0.0	0.51974	0.0	0.0	0.00433	0.34431	0.19593	0.04939	0.0	0.19791	0.07277	0.0	0.00527
s__GGB91399_SGB134831	1.53353	0.95123	6.59122	0.46275	0.2584	0.15857	0.23544	0.40031	0.41386	0.84417	0.72999	0.18326	3.81317	0.81566	0.55202	0.05088
s__GGB32963_SGB71265	1.44743	0.77901	2.3194	0.20891	0.25658	0.10839	0.25821	0.33131	0.44254	0.55279	0.55073	0.49515	1.55796	0.61958	0.44436	0.0842
s__GGB15815_SGB24062	1.41826	3.37111	6.9138	0.03581	0.06142	0.10403	0.12118	0.6941	0.12182	0.22459	0.19888	0.12737	0.11934	0.15034	0.26679	0.20211
s__Sporosarcina_sp_ZBG7A	1.39895	0.0	0.0	0.0	0.00352	0.2839	0.0	0.0	0.0	0.0	0.15687	0.0	0.0	0.19135	0.0	0.0
s__Sphingopyxis_witflariensis	1.32075	0.0	0.0	0.0	0.00465	0.01393	0.0	0.0	0.0	0.0	0.0	0.00736	0.05809	0.0	0.0	0.0
s__Arthrobacter_luteolus	1.21965	0.0	0.0	0.0	0.13164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02751	0.0	0.0075
