clade_name	MS11669_jun23_under50bp.metaphlan	MS11670_jun23_under50bp.metaphlan	MS11673_jun23_under50bp.metaphlan	MS11674_jun23_under50bp.metaphlan	MS11675_jun23_under50bp.metaphlan	MS11676_jun23_under50bp.metaphlan	MS11677_jun23_under50bp.metaphlan	MS11678_jun23_under50bp.metaphlan	MS11679_jun23_under50bp.metaphlan	MS11683_jun23_under50bp.metaphlan	MS11684_jun23_under50bp.metaphlan	MS11686_jun23_under50bp.metaphlan	MS11770_jun23_under50bp.metaphlan	MS11771_jun23_under50bp.metaphlan	MS11774_jun23_under50bp.metaphlan	MS11775_jun23_under50bp.metaphlan
s__Arcobacter_caeni	38.07463	1.81063	0.0	0.0	0.0	0.00729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00058	0.0
s__GGB32963_SGB54433	6.64438	0.73947	1.774	0.30363	0.20004	0.09408	0.23229	0.25828	0.23472	0.25906	0.30924	0.27502	1.1047	0.4325	0.34852	0.04074
s__GGB16996_SGB25597	4.83523	1.5227	10.3442	3.42441	3.22881	1.8865	6.00424	3.40511	1.19429	0.0	0.0	8.8172	0.82773	0.17282	0.39449	1.28802
s__Clostridium_perfringens	2.84216	8.80027	1.50369	11.16238	4.19777	1.7313	10.41002	2.37052	9.09039	8.26437	0.79816	2.6732	1.4331	1.31418	2.95013	3.40845
s__Myroides_guanonis	2.67517	0.0603	0.0	0.0	0.40468	0.0812	0.0	0.0	0.19475	0.0	0.0	0.0	0.0	0.14225	0.03647	0.00023
s__Oerskovia_enterophila	2.6161	0.0	0.85159	0.0	3.21208	0.00813	1.29156	0.0	1.18973	0.59322	0.04328	0.0	4.83349	0.0	0.03125	0.07179
s__GGB91291_SGB134920	2.22212	3.13457	8.59265	0.55736	0.59442	0.14261	0.45495	0.47626	1.73914	3.21646	2.56952	1.55737	3.03745	0.41066	0.48971	0.24403
s__GGB93439_SGB131938	1.96638	0.44254	3.40536	0.36256	0.49853	0.28535	1.88438	0.12796	0.05081	0.56747	0.16938	0.02625	8.49265	0.74967	0.62948	0.13224
s__Rhodococcus_qingshengii	1.74686	0.0	0.0	0.0	0.53225	0.0	0.0	0.0	0.33577	0.17057	0.02299	0.0	0.15247	0.06123	0.0	0.00105
s__GGB91375_SGB134870	1.68914	1.69774	1.7566	0.07741	0.47353	0.0623	0.19127	0.48434	1.44889	9.84731	0.7776	0.28425	3.47017	0.23292	0.83259	0.13248
s__GGB91399_SGB134831	1.65242	1.03701	6.27292	0.41594	0.27219	0.14186	0.18014	0.40938	0.44208	0.85588	0.70427	0.17912	3.92036	0.73693	0.53432	0.05218
s__Sphingopyxis_witflariensis	1.62198	0.0	0.0	0.0	0.00383	0.01313	0.0	0.0	0.0	0.0	0.0	0.00237	0.04533	0.0	0.0	0.0
s__GGB32963_SGB71265	1.49344	0.94004	2.41232	0.19586	0.26413	0.10887	0.27297	0.37805	0.36703	0.62091	0.54507	0.46459	1.51325	0.64194	0.4405	0.08536
s__GGB15815_SGB24062	1.37012	3.62696	6.7377	0.00997	0.05651	0.08444	0.09318	0.56907	0.14496	0.19607	0.19593	0.14336	0.11137	0.13617	0.26954	0.2061
s__Sporosarcina_sp_ZBG7A	1.31191	0.0	0.0	0.0	0.0	0.26582	0.0	0.0	0.0	0.0	0.14166	0.0	0.0	0.17073	0.0	0.0
s__Arthrobacter_luteolus	1.27418	0.0	0.0	0.0	0.13003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01883	0.0	0.00494
s__Comamonas_SGB88312	1.26375	0.0	0.0	0.0	0.2362	0.44899	0.0	0.0	0.04917	0.0	0.0	0.0	2.32973	0.0827	0.0303	0.0
s__Psychrobacillus_faecigallinarum	0.86694	0.0	0.0	0.0	0.27379	0.08203	0.0	0.0	0.07602	0.15194	0.71498	0.26616	0.05417	0.65693	0.0	0.00211
s__Rhodococcus_globerulus	0.81602	0.0	0.0	0.0	0.37503	0.0	0.0	0.00796	0.0	0.0	0.0	0.0	0.08878	0.0	0.0	0.0
s__Eubacterium_tenue	0.76595	6.94455	0.899	2.61853	1.16212	3.17087	1.61921	1.16461	0.98166	0.79942	0.05631	0.7301	1.30354	0.74226	1.11049	0.4592
s__Betaproteobacteria_bacterium_SCGC_AG_212_J23	0.74956	0.17078	1.278	0.03079	0.0688	0.03786	0.07524	0.23291	0.17042	0.4787	0.1906	0.0721	0.85538	0.10099	0.16341	0.00815
s__GGB91384_SGB134809	0.7486	0.23857	1.44526	0.03371	0.10885	0.02094	0.07505	0.21292	0.35673	0.85293	0.38463	0.08604	0.9881	0.16195	0.18971	0.01144
s__GGB34943_SGB57189	0.72812	0.39341	1.16861	0.01873	0.10738	0.02604	0.12953	0.29308	0.41588	0.85613	0.38916	0.08875	1.08844	0.13607	0.21535	0.0158
s__GGB91392_SGB134812	0.71283	0.25678	1.28585	0.07495	0.0943	0.01276	0.06925	0.18642	0.26199	0.65429	0.42382	0.08531	0.96243	0.12661	0.17771	0.01321
s__Sphingomonas_sp_KC8	0.70269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pseudoxanthomonas_yeongjuensis	0.65239	0.0	0.0	0.0	0.00446	0.00069	0.28548	0.62794	0.18192	0.12892	0.0	0.0	0.0	0.00517	0.15792	0.0
s__GGB8467_SGB13173	0.63737	0.33988	1.07168	0.04327	0.08847	0.01848	0.11415	0.22779	0.31688	0.8949	0.32331	0.07158	0.83671	0.0877	0.16187	0.02037
s__Aliarcobacter_butzleri	0.6053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Rhodococcus_sp_OK519	0.58505	0.0	0.0	0.0	0.0171	0.0	0.0	0.0	0.02026	0.00238	0.057	0.0	0.0	0.0	0.0	0.0
s__Stenotrophomonas_rhizophila	0.52854	0.0	0.0	0.0	0.0136	0.0	0.0	0.23382	0.04444	0.0	0.69756	0.0	1.06102	21.40764	0.0	0.0
s__GGB91402_SGB134821	0.51661	0.23174	0.6964	0.05408	0.0757	0.01835	0.07797	0.2339	0.33082	0.67096	0.3975	0.09399	0.63797	0.07432	0.16801	0.01266
s__Nitrospira_sp_SCGC_AG_212_E16	0.51367	0.27198	0.45168	0.0	0.0544	0.01683	0.13245	0.10722	0.0442	0.05951	0.11312	0.04487	0.36985	0.14266	0.19351	0.00729
s__GGB93539_SGB132226	0.50342	0.32355	0.0	0.1176	0.10406	0.00992	0.0178	0.21721	0.02694	0.0079	0.11854	0.04581	0.13791	0.00936	0.05247	0.03782
s__Fusobacterium_perfoetens	0.49643	0.13568	5.84195	9.15601	10.7706	11.00642	9.34095	5.79776	4.30771	4.80878	9.13446	13.93723	2.91693	0.60384	13.86167	5.07839
s__Bifidobacterium_longum	0.48845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Brevundimonas_terrae	0.46143	0.0	0.0	0.0	0.18665	0.007	0.0	0.0	0.24168	0.13593	0.41171	0.10817	0.21951	0.36497	0.02883	0.0
s__GGB63470_SGB85778	0.44107	0.21354	0.5525	0.03027	0.08496	0.02867	0.1006	0.099	0.02055	0.05201	0.11305	0.06252	0.26891	0.14852	0.07577	0.00991
s__Pedobacter_arcticus	0.42352	0.29068	0.0	0.0	0.0	0.02675	0.03696	0.04454	0.0	0.0	0.0	0.0	0.0	0.0	0.00227	0.00258
s__GGB38784_SGB73422	0.41874	0.75793	0.46414	0.3305	0.04963	0.01457	0.0	0.06516	0.00205	0.03313	0.0036	0.0016	0.11047	0.0	0.03841	0.04112
s__Brucella_thiophenivorans	0.40957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Brevundimonas_bullata	0.409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04904	0.33097	2.42426	0.0	0.0
s__Arcobacter_suis	0.39924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB14621_SGB22159	0.38364	0.22438	0.58621	0.00632	0.06793	0.02441	0.06355	0.06529	0.0506	0.07062	0.08581	0.05418	0.28847	0.1243	0.0979	0.01091
s__Staphylococcus_equorum	0.33535	0.0	0.0	2.03606	0.0	0.56871	0.06824	0.46767	0.0	0.0	0.02581	0.0	0.0	0.038	0.0	0.07743
