#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan /nesi/project/uoo02328/meriam/data/decontam_data/MS11107.collapsed.gz --input_type fastq --bowtie2out reports_jun23_database/MS11107_jun23_nreads.bt2.out --nproc 4 --bowtie2db metaphlan_databases/metaphlan_jun23 --read_min_len 30 -t rel_ab_w_read_stats --bt2_ps very-sensitive --index mpa_vJun23_CHOCOPhlAnSGB_202403 --offline -t rel_ab_w_read_stats
#61875798 reads processed
#Average read length 46.37518304006358
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:523488
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	71.62707	0.09302	440335
k__Archaea	2157	28.37293	0.03685	83153
k__Bacteria|p__Proteobacteria	2|1224	32.74388	0.04252	218743
k__Archaea|p__Thaumarchaeota	2157|651137	28.37293	0.03685	83153
k__Bacteria|p__Actinobacteria	2|201174	19.44047	0.02525	128060
k__Bacteria|p__Nitrospirae	2|40117	15.11966	0.01964	63154
k__Bacteria|p__Acidobacteria	2|57723	2.79445	0.00363	24250
k__Bacteria|p__Verrucomicrobia	2|74201	1.00714	0.00131	4236
k__Bacteria|p__Chloroflexi	2|200795	0.39952	0.00052	1422
k__Bacteria|p__Bacteria_unclassified	2|	0.07983	0.0001	320
k__Bacteria|p__Firmicutes	2|1239	0.03356	4e-05	108
k__Bacteria|p__Gemmatimonadetes	2|142182	0.00856	1e-05	42
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	2157|651137|1643678	28.37293	0.03685	83153
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	16.74342	0.02174	125233
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	9.2021	0.01195	54082
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	8.03044	0.01043	31338
k__Bacteria|p__Actinobacteria|c__CFGB52786	2|201174|	7.73859	0.01005	50390
k__Bacteria|p__Nitrospirae|c__CFGB32184	2|40117|	7.08921	0.00921	31816
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	6.15499	0.00799	52976
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	5.81785	0.00756	33251
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	3.08633	0.00401	14233
k__Bacteria|p__Acidobacteria|c__CFGB5372	2|57723|	1.87846	0.00244	17328
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	1.48828	0.00193	6363
k__Bacteria|p__Actinobacteria|c__CFGB33437	2|201174|	0.6107	0.00079	2330
k__Bacteria|p__Acidobacteria|c__CFGB34710	2|57723|	0.60641	0.00079	3964
k__Bacteria|p__Verrucomicrobia|c__CFGB2153	2|74201|	0.57835	0.00075	2400
k__Bacteria|p__Proteobacteria|c__CFGB49326	2|1224|	0.4578	0.00059	3239
k__Bacteria|p__Verrucomicrobia|c__CFGB81401	2|74201|	0.42878	0.00056	1836
k__Bacteria|p__Chloroflexi|c__CFGB40431	2|200795|	0.23168	0.0003	634
