#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan bowtie2/MS11684_over50bp.sam --input_type sam --nproc 4 -t rel_ab_w_read_stats --bowtie2db metaphlan_databases/metaphlan_jun23 --offline --nreads 12793039 -o reports_over50bp/MS11684_jun23_over50bp.metaphlan_profile.txt
#12793039 reads processed
#Average read length 1
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:481069
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	0.14833	481069
k__Bacteria|p__Firmicutes	2|1239	34.07429	0.05054	143194
k__Bacteria|p__Proteobacteria	2|1224	30.03016	0.04454	206547
k__Bacteria|p__Fusobacteria	2|32066	24.72103	0.03667	69579
k__Bacteria|p__Bacteroidota	2|976	7.77715	0.01154	41560
k__Bacteria|p__Nitrospirae	2|40117	2.63797	0.00391	12708
k__Bacteria|p__Actinobacteria	2|201174	0.7594	0.00113	7481
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	24.72103	0.03667	69579
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	23.25166	0.03449	100842
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	22.79347	0.03381	167038
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	7.57607	0.01124	40090
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	5.28499	0.00784	24363
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	4.4732	0.00663	14325
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	4.15836	0.00617	24963
k__Bacteria|p__Nitrospirae|c__CFGB32184	2|40117|	1.70555	0.00253	8692
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.68104	0.00249	9404
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.93243	0.00138	4016
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.86449	0.00128	2078
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.7594	0.00113	7481
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.45151	0.00067	1568
k__Bacteria|p__Firmicutes|c__CFGB75497	2|1239|	0.44806	0.00066	1371
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.35844	0.00053	1569
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	0.20108	0.0003	1470
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.16488	0.00024	725
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	0.13263	0.0002	1147
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.04171	6e-05	348
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	24.72103	0.03667	69579
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	23.25166	0.03449	100842
