#mpa_vJun23_CHOCOPhlAnSGB_202403
#/nesi/nobackup/uoo02328/meriam/conda_environments/mpa/bin/metaphlan /nesi/nobackup/uoo02328/meriam/coprolite_analysis/04-analysis/eager_CanFam3.1/metagenomic_complexity_filter/fastp/MS11670.unmapped.lowcomplexityremoved.dedup.fq.gz --input_type fastq --bowtie2out reports_jun23_database/MS11670_jun23_dedup.bt2.out --nproc 16 --bowtie2db metaphlan_databases --read_min_len 30 -t rel_ab_w_read_stats --bt2_ps very-sensitive --index mpa_vJun23_CHOCOPhlAnSGB_202403 --offline
#26732003 reads processed
#Average read length 48.06164566119494
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:998485
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.27518	0.31235	990513
k__Archaea	2157	1.72482	0.00548	7972
k__Bacteria|p__Firmicutes	2|1239	51.98816	0.16523	446468
k__Bacteria|p__Proteobacteria	2|1224	23.86897	0.07586	303113
k__Bacteria|p__Bacteroidota	2|976	12.8477	0.04083	173933
k__Bacteria|p__Actinobacteria	2|201174	5.45757	0.01735	31196
k__Bacteria|p__Nitrospirae	2|40117	1.90445	0.00605	19178
k__Archaea|p__Thaumarchaeota	2157|651137	1.72482	0.00548	7972
k__Bacteria|p__Fusobacteria	2|32066	1.20579	0.00383	7931
k__Bacteria|p__Verrucomicrobia	2|74201	0.6449	0.00205	4238
k__Bacteria|p__Acidobacteria	2|57723	0.17788	0.00057	3223
k__Bacteria|p__Tenericutes	2|544448	0.09182	0.00029	404
k__Bacteria|p__Spirochaetes	2|203691	0.0647	0.00021	556
k__Bacteria|p__Gemmatimonadetes	2|142182	0.02324	7e-05	273
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	34.48088	0.10959	334031
k__Bacteria|p__Firmicutes|c__CFGB1838	2|1239|	11.26721	0.03581	71874
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	8.4612	0.02689	82142
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	8.18176	0.026	125883
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	5.26171	0.01672	29938
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	4.95138	0.01574	61837
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	4.67936	0.01487	85503
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	4.11705	0.01309	42184
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	2.80609	0.00892	36115
k__Bacteria|p__Firmicutes|c__CFGB49311	2|1239|	2.35445	0.00748	15120
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	1.86577	0.00593	18863
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	1.72482	0.00548	7972
