#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan bowtie2/MS11670_under50bp.sam --input_type sam --nproc 4 -t rel_ab_w_read_stats --bowtie2db metaphlan_databases/metaphlan_jun23 --offline --nreads 21260786 -o reports_under50bp/MS11670_jun23_under50bp.metaphlan_profile.txt
#21260786 reads processed
#Average read length 1
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:744574
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.4773	0.22932	739418
k__Archaea	2157	1.5227	0.00355	5156
k__Bacteria|p__Firmicutes	2|1239	47.82724	0.11137	301270
k__Bacteria|p__Proteobacteria	2|1224	26.74329	0.06228	247094
k__Bacteria|p__Bacteroidota	2|976	13.852	0.03226	137566
k__Bacteria|p__Actinobacteria	2|201174	5.50866	0.01283	22993
k__Bacteria|p__Nitrospirae	2|40117	2.38941	0.00556	17686
k__Archaea|p__Thaumarchaeota	2157|651137	1.5227	0.00355	5156
k__Bacteria|p__Fusobacteria	2|32066	1.04726	0.00244	5151
k__Bacteria|p__Verrucomicrobia	2|74201	0.78924	0.00184	3800
k__Bacteria|p__Acidobacteria	2|57723	0.22302	0.00052	3268
k__Bacteria|p__Gemmatimonadetes	2|142182	0.03613	8e-05	315
k__Bacteria|p__Tenericutes	2|544448	0.03526	8e-05	113
k__Bacteria|p__Spirochaetes	2|203691	0.02579	6e-05	162
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	31.71874	0.07386	225839
k__Bacteria|p__Firmicutes|c__CFGB1838	2|1239|	10.85591	0.02528	50738
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	9.1601	0.02133	64490
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	8.96216	0.02087	101078
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	5.99016	0.01395	54483
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	5.38934	0.01255	22430
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	4.96869	0.01157	66297
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	4.35418	0.01014	32070
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	3.15363	0.00734	29732
k__Bacteria|p__Firmicutes|c__CFGB49311	2|1239|	2.58819	0.00603	12178
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	2.38941	0.00556	17686
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	1.81063	0.00422	10225
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	1.5227	0.00355	5156
k__Bacteria|p__Proteobacteria|c__CFGB49326	2|1224|	1.12431	0.00262	15095
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	1.04726	0.00244	5151
k__Bacteria|p__Verrucomicrobia|c__CFGB79351	2|74201|	0.78924	0.00184	3800
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.77426	0.0018	3390
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.4938	0.00115	2284
k__Bacteria|p__Firmicutes|c__CFGB1349	2|1239|	0.39612	0.00092	1866
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.32355	0.00075	4243
k__Bacteria|p__Firmicutes|c__CFGB79015	2|1239|	0.30409	0.00071	1571
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	0.29068	0.00068	2932
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.21787	0.00051	1096
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.20303	0.00047	964
k__Bacteria|p__Bacteroidota|c__CFGB629	2|976|	0.19086	0.00044	1210
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.17725	0.00041	2073
k__Bacteria|p__Acidobacteria|c__CFGB5372	2|57723|	0.16725	0.00039	2533
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.13689	0.00032	412
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.11932	0.00028	563
k__Bacteria|p__Firmicutes|c__CFGB4541	2|1239|	0.0863	0.0002	581
k__Bacteria|p__Acidobacteria|c__CFGB34710	2|57723|	0.05577	0.00013	735
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.0388	9e-05	288
k__Bacteria|p__Bacteroidota|c__CFGB653	2|976|	0.03846	9e-05	179
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes_unclassified	2|142182|	0.03613	8e-05	315
k__Bacteria|p__Tenericutes|c__CFGB1772	2|544448|	0.03526	8e-05	113
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.02579	6e-05	162
k__Bacteria|p__Proteobacteria|c__CFGB15779	2|1224|	0.02264	5e-05	348
k__Bacteria|p__Bacteroidota|c__CFGB628	2|976|	0.01567	4e-05	97
k__Bacteria|p__Firmicutes|c__CFGB1288	2|1239|	0.01325	3e-05	63
k__Bacteria|p__Proteobacteria|c__CFGB22535	2|1224|	0.00658	2e-05	65
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	2|1224|2008785	0.00576	1e-05	43
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	31.71874	0.07386	225839
k__Bacteria|p__Firmicutes|c__CFGB1838|o__OFGB1838	2|1239||	10.85591	0.02528	50738
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	8.96216	0.02087	101078
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	8.03404	0.01871	52013
