,PC1,PC2,labels,name
SRR14842336,1.2408427,-1.6503171,Canis_familiaris,SRR14842336
MS11102,-6.635151,-12.588771,Sediment,MS11102
SRR14842425,0.28482306,5.5370026,Canis_familiaris,SRR14842425
SRR2240729,13.07794,4.153459,Homo_sapiens,SRR2240729
SRR2241305,17.946304,2.3988674,Homo_sapiens,SRR2241305
SRR2175658,12.854796,5.1188025,Homo_sapiens,SRR2175658
SRR2175654,14.20387,8.232876,Homo_sapiens,SRR2175654
SRR1952521,15.380966,9.432631,Homo_sapiens,SRR1952521
SRR1952621,15.49452,8.081133,Homo_sapiens,SRR1952621
SRR24222623,-5.090147,-17.359583,Sediment,SRR24222623
SRR14842412,0.4295268,0.21117419,Canis_familiaris,SRR14842412
SRR14842388,-1.9734538,3.7626023,Canis_familiaris,SRR14842388
SRR25620753,-5.2154875,-20.206308,Sediment,SRR25620753
SRR25620795,-4.535017,-18.674784,Sediment,SRR25620795
SRR1952518,17.314766,4.8521523,Homo_sapiens,SRR1952518
SRR14842397,-4.5479,1.4677964,Canis_familiaris,SRR14842397
SRR14842393,-2.8983953,8.540972,Canis_familiaris,SRR14842393
SRR2240837,17.975668,8.647309,Homo_sapiens,SRR2240837
MS10903,-3.1990833,-15.805727,Sediment,MS10903
SRR2175756,20.389498,4.773718,Homo_sapiens,SRR2175756
SRR14842371,-0.3100185,5.897992,Canis_familiaris,SRR14842371
SRR14842338,-8.249263,0.73541415,Canis_familiaris,SRR14842338
SRR14842369,-7.2747836,4.073358,Canis_familiaris,SRR14842369
SRR14842330,-5.5643764,11.86662,Canis_familiaris,SRR14842330
SRR2175726,13.920315,3.9274054,Homo_sapiens,SRR2175726
SRR14842405,-5.7227325,10.802107,Canis_familiaris,SRR14842405
SRR14842321,-0.2338571,2.735135,Canis_familiaris,SRR14842321
SRR14842347,-2.6792853,-2.1148713,Canis_familiaris,SRR14842347
MS11108,-6.656519,-11.717772,Sediment,MS11108
SRR14842375,-2.9015954,2.9656353,Canis_familiaris,SRR14842375
SRR14842341,-1.9453037,-5.4283667,Canis_familiaris,SRR14842341
ERR12814467,-7.192341,-20.417187,Sediment,ERR12814467
MS11107,-6.6108646,-13.363752,Sediment,MS11107
SRR14842329,10.108424,5.114143,Canis_familiaris,SRR14842329
