TAXID,MS11673_kraken_2024-standard_conf0
1,454150
131567,451587
2,429158
1224,181049
28211,63875
356,23708
41294,5464
374,4234
2631580,1107
2782641,92
3049772,79
2782665,69
1437360,108
858423,73
2840469,54
1073,147
1076,86
1395974,71
1033,51
82115,2077
227290,1054
379,615
2613769,172
1612611,74
2643050,57
357,64
1525371,55
227292,433
28105,299
663276,59
380,59
106591,80
106592,58
323620,127
2643062,65
69277,1949
68287,1417
325217,759
245876,99
28100,65
31988,51
119045,784
407,393
2615210,69
186650,177
2282523,114
335928,559
556257,187
331696,113
2638514,58
2562284,58
99,125
2626613,50
279,65
152053,52
2615126,52
2709380,52
45401,485
29407,264
2619116,264
674703,264
81,116
2619925,71
119042,379
212791,173
2632691,173
1894999,173
169055,118
2623691,118
2712222,118
1734920,77
1235591,77
2831100,301
85413,301
2653178,182
2831106,212
46913,137
196773,90
2821832,198
31993,143
133,110
255475,125
414371,53
2813035,110
2838250,53
2593653,53
45404,92
2843305,78
1632780,78
2831090,62
59282,62
2843308,55
118882,50
204441,5948
3031144,1648
2705399,1648
2602015,569
2602016,538
2829815,1103
191,616
2630922,71
2202148,56
528244,52
204447,220
433,703
125216,159
1706033,58
522,50
41295,393
1231242,150
2594003,150
1081,98
34018,71
414684,71
13134,88
2844864,150
390876,80
1862145,80
526215,70
2632499,70
3100173,70
2844601,147
93,147
94,147
204457,2583
41297,1605
13687,681
196159,236
165695,133
2611147,67
165697,133
2614943,57
165696,94
335929,264
2800788,74
1041,55
2820280,77
335405,52
204455,1682
31989,675
265,240
2854170,609
74030,77
60136,57
204458,681
76892,681
75,185
2648921,63
41275,170
20,140
2800060,76
69657,76
85,61
28216,32514
80840,17994
119060,4987
32008,1540
87882,447
2613784,83
111527,64
1822464,628
2026199,99
2615204,59
106589,606
82633,70
2640874,62
48736,288
209769,95
3122075,86
93217,126
1827195,96
2646786,54
80864,3399
34072,724
663243,398
34073,122
47420,219
2610897,133
28065,196
2627954,85
52972,170
2638319,105
296591,54
283,165
174951,156
94132,156
365046,57
12916,127
2684926,78
238749,60
75682,1070
2895353,598
149698,280
2609279,121
1522432,120
963,121
29580,83
202907,51
506,972
222,269
517,233
507,70
152267,62
2626614,58
2975441,793
1114981,252
2627988,128
3037797,128
946333,119
93681,155
2626991,84
196013,88
316612,63
224471,239
32012,61
92793,61
2620789,51
32003,1954
2803844,952
2803845,952
2732487,437
2732067,350
2008793,249
311181,59
2008790,204
919,157
2646513,96
3110231,57
36861,53
292415,53
2772226,143
2772198,61
2715678,61
1778653,55
90627,97
206379,96
35798,51
206389,1384
2008794,615
33057,212
2609274,95
12960,184
2629479,139
2891294,52
75787,348
146937,129
404405,71
551759,100
1769726,62
2008795,156
73029,66
206351,604
1499392,209
535,113
2897177,155
240411,66
356302,61
481,138
482,53
119066,56
1236,14509
135614,2813
32033,2097
40323,360
196198,56
68,357
2635362,61
338,218
83618,138
83614,86
1775411,326
231454,69
75309,68
242605,60
91347,2505
543,1678
561,216
562,146
1903414,217
586,150
333962,115
1903411,134
629,72
1903409,102
1903412,75
72274,2472
135621,2342
286,1885
196821,326
136841,78
136842,51
2901261,68
521720,68
2901164,57
2887365,87
2742,87
135613,641
72276,264
106633,91
1335745,61
1765964,51
1046,248
135619,480
28256,353
2745,190
2609666,105
2887326,419
468,419
497,314
196806,239
469,81
135618,273
403,253
413,73
416,52
135622,183
267890,74
22,74
1692040,154
1692041,154
1692042,68
1675686,68
1744881,67
1620215,67
1706369,135
1706373,55
