TAXID,MS11679_kraken_2024-standard_conf0,MS11669_kraken_2024-standard_conf0,MS11774_kraken_2024-standard_conf0,MS11675_kraken_2024-standard_conf0,MS11683_kraken_2024-standard_conf0,MS11686_kraken_2024-standard_conf0,MS11673_kraken_2024-standard_conf0,MS11771_kraken_2024-standard_conf0,MS11775_kraken_2024-standard_conf0,MS11677_kraken_2024-standard_conf0,MS11670_kraken_2024-standard_conf0,MS11770_kraken_2024-standard_conf0,MS11676_kraken_2024-standard_conf0,MS11674_kraken_2024-standard_conf0,MS11684_kraken_2024-standard_conf0,MS11678_kraken_2024-standard_conf0
1,1696855.0,1216849.0,1810896.0,3418098.0,1348904.0,893344.0,454150.0,3353130.0,2392713.0,763509.0,592527.0,773183.0,1086994.0,684661.0,1216060.0,1479009.0
131567,1681924.0,1213491.0,1746531.0,3213105.0,1336581.0,866134.0,451587.0,3291047.0,2389572.0,760962.0,582737.0,747467.0,1035693.0,673953.0,1182502.0,1435679.0
2,1634387.0,1183156.0,1644803.0,3168059.0,1284362.0,837716.0,429158.0,3262414.0,2352753.0,710786.0,568002.0,696709.0,958335.0,626697.0,1157330.0,1196647.0
1783272,796458.0,312395.0,760308.0,1281930.0,522988.0,357766.0,68101.0,414728.0,814418.0,235883.0,194312.0,203035.0,321634.0,377010.0,330415.0,449260.0
201174,581709.0,228589.0,580750.0,472378.0,351920.0,214851.0,37529.0,114446.0,83983.0,105039.0,37091.0,127096.0,86801.0,14509.0,203118.0,223345.0
1760,571823.0,224403.0,570080.0,463893.0,328085.0,209142.0,34392.0,110146.0,72064.0,99909.0,35122.0,123695.0,83674.0,13572.0,198271.0,215625.0
85007,160632.0,83912.0,6609.0,111817.0,65010.0,6648.0,3407.0,11543.0,7147.0,6867.0,2663.0,12513.0,7350.0,2581.0,9284.0,6146.0
85025,151275.0,72076.0,2915.0,103582.0,58234.0,3995.0,771.0,9725.0,4784.0,4246.0,711.0,9576.0,2349.0,406.0,5043.0,3929.0
1827,146250.0,69573.0,1855.0,101649.0,55707.0,3306.0,575.0,9269.0,4486.0,3688.0,561.0,8053.0,2073.0,342.0,3614.0,3478.0
223392,77447.0,0.0,0.0,0.0,28000.0,1672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0
192944,1651.0,1544.0,143.0,1727.0,785.0,0.0,0.0,1752.0,171.0,218.0,0.0,275.0,0.0,0.0,221.0,175.0
935199,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2742603,253.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2567884,226.0,0.0,0.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2885078,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103816,1595.0,0.0,0.0,0.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1829,1525.0,0.0,0.0,0.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33008,814.0,12274.0,546.0,25759.0,0.0,0.0,240.0,635.0,1500.0,1131.0,161.0,2057.0,1012.0,0.0,291.0,1510.0
2840174,635.0,4084.0,0.0,6004.0,308.0,0.0,0.0,594.0,154.0,164.0,0.0,629.0,0.0,0.0,157.0,0.0
334542,409.0,1254.0,0.0,2158.0,205.0,0.0,0.0,287.0,0.0,0.0,0.0,302.0,0.0,0.0,104.0,0.0
1833,121.0,2329.0,0.0,3164.0,0.0,0.0,0.0,231.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0
1817,963.0,289.0,850.0,296.0,847.0,324.0,150.0,163.0,118.0,265.0,101.0,1349.0,134.0,0.0,507.0,316.0
1824,544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2979332,680.0,624.0,0.0,176.0,288.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,0.0
43767,494.0,431.0,0.0,0.0,217.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,0.0
1762,2567.0,7685.0,2150.0,3307.0,2654.0,1325.0,1141.0,771.0,825.0,1289.0,848.0,1809.0,2096.0,409.0,2765.0,1248.0
1866885,980.0,4385.0,778.0,957.0,1020.0,447.0,460.0,269.0,248.0,501.0,348.0,1007.0,833.0,169.0,1243.0,499.0
2636767,169.0,2597.0,0.0,213.0,114.0,0.0,105.0,0.0,0.0,113.0,0.0,578.0,239.0,0.0,242.0,120.0
2908837,105.0,2460.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,0.0,0.0,194.0,0.0
36814,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710685,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1763,408.0,577.0,486.0,923.0,601.0,350.0,249.0,215.0,237.0,296.0,179.0,260.0,333.0,0.0,403.0,282.0
1653,385.0,687.0,417.0,492.0,437.0,740.0,968.0,255.0,350.0,270.0,698.0,389.0,1419.0,882.0,158.0,282.0
1716,385.0,687.0,417.0,492.0,437.0,740.0,968.0,255.0,350.0,270.0,698.0,389.0,1419.0,882.0,158.0,282.0
85026,282.0,156.0,190.0,250.0,254.0,0.0,109.0,0.0,105.0,110.0,0.0,0.0,105.0,0.0,125.0,0.0
2053,270.0,152.0,176.0,245.0,243.0,0.0,101.0,0.0,0.0,105.0,0.0,0.0,104.0,0.0,119.0,0.0
85029,102.0,317.0,0.0,711.0,0.0,0.0,0.0,105.0,383.0,0.0,0.0,0.0,689.0,476.0,171.0,0.0
37914,102.0,317.0,0.0,711.0,0.0,0.0,0.0,105.0,383.0,0.0,0.0,0.0,689.0,476.0,171.0,0.0
85006,91012.0,37173.0,7521.0,163411.0,38783.0,9988.0,3069.0,34127.0,34532.0,16870.0,3028.0,24596.0,23636.0,3285.0,20362.0,7560.0
85016,39454.0,7181.0,1113.0,48891.0,13840.0,611.0,747.0,1027.0,1585.0,6271.0,532.0,11472.0,941.0,0.0,7737.0,201.0
162491,29615.0,6164.0,737.0,44022.0,9933.0,469.0,564.0,788.0,1304.0,5329.0,396.0,10601.0,285.0,0.0,7318.0,0.0
2619021,29615.0,6164.0,737.0,44022.0,9933.0,469.0,564.0,788.0,1304.0,5329.0,396.0,10601.0,285.0,0.0,7318.0,0.0
1179673,29615.0,6164.0,737.0,44022.0,9933.0,469.0,564.0,788.0,1304.0,5329.0,396.0,10601.0,285.0,0.0,7318.0,0.0
1707,8014.0,592.0,294.0,1640.0,3294.0,113.0,133.0,179.0,150.0,626.0,105.0,301.0,608.0,0.0,157.0,109.0
2968084,4362.0,0.0,0.0,115.0,1682.0,0.0,0.0,0.0,0.0,241.0,0.0,0.0,245.0,0.0,0.0,0.0
2620175,665.0,140.0,100.0,465.0,393.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0
2973977,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1708,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85017,14161.0,521.0,105.0,3186.0,3749.0,3482.0,0.0,114.0,178.0,345.0,0.0,615.0,0.0,0.0,200.0,0.0
157920,13532.0,348.0,0.0,2295.0,3488.0,3394.0,0.0,0.0,118.0,229.0,0.0,448.0,0.0,0.0,138.0,0.0
1710,1688.0,0.0,0.0,421.0,478.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2624466,947.0,0.0,0.0,179.0,210.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1906273,555.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2587808,112.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254250,130.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186188,104.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85023,7978.0,4345.0,2856.0,62120.0,8050.0,1692.0,943.0,17527.0,18048.0,1804.0,999.0,5161.0,5941.0,830.0,4260.0,2854.0
33882,2858.0,1530.0,781.0,8779.0,2951.0,977.0,293.0,8659.0,6140.0,533.0,213.0,2895.0,2308.0,342.0,2486.0,1072.0
2609290,1077.0,347.0,223.0,1805.0,1152.0,317.0,0.0,1266.0,827.0,142.0,0.0,476.0,370.0,0.0,1068.0,221.0
3019890,430.0,0.0,0.0,387.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0
2048898,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33877,241.0,107.0,109.0,955.0,237.0,0.0,0.0,123.0,144.0,0.0,0.0,244.0,0.0,0.0,211.0,0.0
235888,189.0,133.0,0.0,816.0,224.0,0.0,0.0,389.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2632331,133.0,0.0,0.0,149.0,119.0,0.0,0.0,110.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,175.0,105.0,0.0,203.0,222.0,0.0,0.0,120.0,103.0,0.0,0.0,0.0,249.0,0.0,121.0,0.0
257496,132.0,0.0,0.0,159.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33886,114.0,0.0,0.0,141.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110932,103.0,0.0,0.0,161.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1268,5805.0,19055.0,1186.0,14583.0,2248.0,2285.0,315.0,5280.0,7919.0,1357.0,552.0,1748.0,6444.0,634.0,5113.0,2631.0
1742989,3175.0,309.0,188.0,1677.0,533.0,254.0,0.0,2082.0,1016.0,846.0,192.0,312.0,4211.0,147.0,2570.0,1341.0
37930,1560.0,0.0,0.0,400.0,282.0,199.0,0.0,733.0,0.0,0.0,0.0,114.0,1691.0,0.0,1165.0,0.0
1775880,765.0,0.0,0.0,121.0,110.0,0.0,0.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,449.0,0.0
256701,210.0,103.0,0.0,566.0,0.0,0.0,0.0,830.0,334.0,0.0,155.0,0.0,1798.0,101.0,481.0,766.0
861360,210.0,103.0,0.0,566.0,0.0,0.0,0.0,830.0,334.0,0.0,155.0,0.0,1798.0,101.0,481.0,766.0
1663,1315.0,18014.0,392.0,9626.0,978.0,1498.0,131.0,1676.0,4313.0,252.0,0.0,1061.0,502.0,0.0,1392.0,431.0
235627,669.0,16561.0,266.0,8063.0,333.0,188.0,0.0,1218.0,1598.0,178.0,0.0,525.0,382.0,0.0,908.0,215.0
1652545,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,618.0,0.0
2828862,190.0,16199.0,0.0,7449.0,0.0,0.0,0.0,933.0,925.0,102.0,0.0,413.0,0.0,0.0,195.0,0.0
199136,449.0,0.0,0.0,0.0,433.0,1037.0,0.0,118.0,227.0,0.0,0.0,372.0,0.0,0.0,349.0,0.0
57493,369.0,0.0,0.0,0.0,120.0,167.0,0.0,0.0,0.0,0.0,0.0,148.0,594.0,0.0,179.0,0.0
71999,219.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85019,2624.0,284.0,0.0,557.0,1091.0,396.0,0.0,2146.0,772.0,2978.0,265.0,278.0,6579.0,1074.0,170.0,462.0
1696,2615.0,282.0,0.0,549.0,1086.0,393.0,0.0,2145.0,762.0,2973.0,264.0,271.0,6575.0,1074.0,167.0,454.0
2614124,1010.0,0.0,0.0,0.0,274.0,135.0,0.0,0.0,0.0,119.0,0.0,0.0,277.0,0.0,0.0,0.0
2886045,887.0,0.0,0.0,0.0,188.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145360,1340.0,164.0,0.0,893.0,514.0,0.0,0.0,2630.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60919,1340.0,164.0,0.0,893.0,514.0,0.0,0.0,2630.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2645534,1237.0,0.0,0.0,401.0,461.0,0.0,0.0,2026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2714931,1172.0,0.0,0.0,0.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85020,252.0,167.0,0.0,207.0,201.0,204.0,0.0,149.0,269.0,414.0,0.0,188.0,835.0,196.0,0.0,0.0
43668,228.0,147.0,0.0,195.0,179.0,199.0,0.0,137.0,256.0,400.0,0.0,184.0,817.0,190.0,0.0,0.0
2623841,106.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,234.0,0.0,0.0,290.0,0.0,0.0,0.0
85021,209.0,116.0,291.0,186.0,314.0,109.0,0.0,0.0,138.0,0.0,0.0,0.0,613.0,0.0,158.0,0.0
53457,102.0,0.0,0.0,109.0,140.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,535.0,0.0,115.0,0.0
577468,120.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2805590,119.0,0.0,0.0,110.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0
85012,65033.0,654.0,268275.0,7395.0,21553.0,42584.0,1044.0,14389.0,643.0,17354.0,315.0,2443.0,10334.0,596.0,55368.0,71701.0
2012,32314.0,151.0,1950.0,172.0,6972.0,5238.0,136.0,831.0,0.0,1404.0,0.0,145.0,1026.0,164.0,5850.0,9414.0
1988,31254.0,0.0,1147.0,0.0,5983.0,4890.0,0.0,664.0,0.0,1077.0,0.0,116.0,873.0,141.0,5381.0,8880.0
