,PC1,PC2,labels,name
SRR14842336,7.3593106,3.5177433,Canis_familiaris,SRR14842336
MS11102,16.401178,-7.6273584,Sediment,MS11102
SRR14842425,-3.4019318,-1.9714713,Canis_familiaris,SRR14842425
SRR2240729,-16.825129,2.2971358,Homo_sapiens,SRR2240729
SRR2241305,-20.750813,5.620682,Homo_sapiens,SRR2241305
SRR2175658,-16.51324,1.519136,Homo_sapiens,SRR2175658
SRR2175654,-20.35176,-0.40095443,Homo_sapiens,SRR2175654
SRR1952521,-21.966137,-0.42832747,Homo_sapiens,SRR1952521
SRR1952621,-20.594864,0.54820746,Homo_sapiens,SRR1952621
SRR24222623,20.66829,-6.007169,Sediment,SRR24222623
SRR14842412,5.5818667,3.5984135,Canis_familiaris,SRR14842412
SRR14842388,2.0714638,1.6841242,Canis_familiaris,SRR14842388
SRR25620753,23.36309,-6.909177,Sediment,SRR25620753
SRR25620795,21.961315,-6.187519,Sediment,SRR25620795
SRR1952518,-18.343424,-0.25639874,Homo_sapiens,SRR1952518
SRR14842397,1.5544584,-5.9937944,Canis_familiaris,SRR14842397
SRR14842393,-3.264667,2.886287,Canis_familiaris,SRR14842393
SRR2240837,-23.228241,1.462814,Homo_sapiens,SRR2240837
MS10903,18.42347,-8.202908,Sediment,MS10903
SRR2175756,-18.208458,-3.3542583,Homo_sapiens,SRR2175756
SRR14842371,-2.9369802,-1.5159861,Canis_familiaris,SRR14842371
SRR14842338,3.0191097,6.596071,Canis_familiaris,SRR14842338
SRR14842369,0.032553386,-4.1244693,Canis_familiaris,SRR14842369
SRR14842330,-4.301596,6.7907023,Canis_familiaris,SRR14842330
SRR2175726,-17.875933,3.213079,Homo_sapiens,SRR2175726
SRR14842405,-2.468575,6.424453,Canis_familiaris,SRR14842405
SRR14842321,1.9172661,0.12209184,Canis_familiaris,SRR14842321
SRR14842347,6.6804485,-0.42948824,Canis_familiaris,SRR14842347
MS11108,15.326171,-7.6844525,Sediment,MS11108
SRR14842375,2.716496,-1.1299747,Canis_familiaris,SRR14842375
SRR14842341,8.049747,-1.5002981,Canis_familiaris,SRR14842341
ERR12814467,23.616243,-8.810793,Sediment,ERR12814467
MS11107,17.208965,-7.762061,Sediment,MS11107
SRR14842329,-13.789607,0.20877017,Canis_familiaris,SRR14842329
SRR14842408,-4.18273,-2.1087592,Canis_familiaris,SRR14842408
SRR14842358,-3.0477595,7.330128,Canis_familiaris,SRR14842358
SRR14842354,-5.6991806,0.58191234,Canis_familiaris,SRR14842354
SRR14842366,5.2443113,-1.2791,Canis_familiaris,SRR14842366
SRR14842384,-0.3264462,-1.828675,Canis_familiaris,SRR14842384
SRR2175670,-17.591818,0.96510583,Homo_sapiens,SRR2175670
SRR2241109,-17.198067,3.8479965,Homo_sapiens,SRR2241109
SRR24222627,17.702166,-5.2769585,Sediment,SRR24222627
SRR14842362,-0.40203324,1.8785727,Canis_familiaris,SRR14842362
SRR14842416,7.643576,1.9997383,Canis_familiaris,SRR14842416
SRR14842420,-12.6334095,0.524186,Canis_familiaris,SRR14842420
SRR1952613,-18.297207,-2.913887,Homo_sapiens,SRR1952613
MS10902,19.476551,-7.775002,Sediment,MS10902
SRR2175779,-19.038717,0.9011886,Homo_sapiens,SRR2175779
SRR2175773,-14.697873,4.2354116,Homo_sapiens,SRR2175773
SRR2175764,-16.634754,-0.7007293,Homo_sapiens,SRR2175764
SRR14842419,1.2234014,3.914413,Canis_familiaris,SRR14842419
SRR2241505,-21.3357,2.04613,Homo_sapiens,SRR2241505
SRR14842387,-1.2537534,1.3866287,Canis_familiaris,SRR14842387
SRR1952617,-20.645947,2.9346533,Homo_sapiens,SRR1952617
SRR14842417,2.7621465,5.375429,Canis_familiaris,SRR14842417
SRR14842345,-1.2571629,6.879386,Canis_familiaris,SRR14842345
SRR1952457,-22.75597,1.9220979,Homo_sapiens,SRR1952457
SRR14842411,8.706409,5.2929506,Canis_familiaris,SRR14842411
SRR14842327,6.6919527,-6.0401506,Canis_familiaris,SRR14842327
SRR1952058,-15.991289,5.119987,Homo_sapiens,SRR1952058
SRR14842389,-3.6982198,7.8472366,Canis_familiaris,SRR14842389
SRR14842385,3.9696243,-3.0956357,Canis_familiaris,SRR14842385
SRR2241409,-16.013496,3.325403,Homo_sapiens,SRR2241409
SRR1952522,-19.128563,-2.3868992,Homo_sapiens,SRR1952522
SRR2241306,-21.41079,-0.8052957,Homo_sapiens,SRR2241306
SRR14842422,-8.4284525,-0.29517788,Canis_familiaris,SRR14842422
SRR14842376,1.9207886,0.22133243,Canis_familiaris,SRR14842376
SRR14842400,-2.7729468,5.5885024,Canis_familiaris,SRR14842400
SRR14842373,0.3308868,0.4104924,Canis_familiaris,SRR14842373
SRR1952455,-17.59941,3.0248337,Homo_sapiens,SRR1952455
SRR7774477,22.49262,-4.857322,Sediment,SRR7774477
SRR7774469,17.022959,-4.584214,Sediment,SRR7774469
SRR14842374,1.2901676,-1.2511562,Canis_familiaris,SRR14842374
SRR1952459,-20.45147,2.3781264,Homo_sapiens,SRR1952459
