TAXID,SRR14842336,MS11102,SRR14842425,SRR2240729,SRR2241305,SRR2175658,SRR2175654,SRR1952521,SRR1952621,SRR24222623,SRR14842412,SRR14842388,SRR25620753,SRR25620795,SRR1952518,SRR14842397,SRR14842393,SRR2240837,MS10903,SRR2175756,SRR14842371,SRR14842338,SRR14842369,SRR14842330,SRR2175726,SRR14842405,SRR14842321,SRR14842347,MS11108,SRR14842375,SRR14842341,ERR12814467,MS11107,SRR14842329,SRR14842408,SRR14842358,SRR14842354,SRR14842366,SRR14842384,SRR2175670,SRR2241109,SRR24222627,SRR14842362,SRR14842416,SRR14842420,SRR1952613,MS10902,SRR2175779,SRR2175773,SRR2175764,SRR14842419,SRR2241505,SRR14842387,SRR1952617,SRR14842417,SRR14842345,SRR1952457,SRR14842411,SRR14842327,SRR1952058,SRR14842389,SRR14842385,SRR2241409,SRR1952522,SRR2241306,SRR14842422,SRR14842376,SRR14842400,SRR14842373,SRR1952455,SRR7774477,SRR7774469,SRR14842374,SRR1952459,ERR12074384,SRR7774471,SRR14842423,SRR14842349,SRR2241023,SRR14842322,SRR25620756,ERR12814476,SRR14842323,SRR14842352,ERR12814471,SRR14842396,SRR2240921,SRR2175755,SRR14842402,SRR14842370,SRR2240287,SRR14842334,SRR14842361,SRR7774474,SRR14842379,SRR25620676,SRR14842320,SRR2175724,SRR2175804,SRR14842415,ERR1560093,SRR2175725,SRR2175723,SRR14842368,SRR2175780,SRR14842325,SRR14842339,SRR1952562,SRR14842383,SRR14842380,SRR14842381,SRR2175767,SRR14842372,SRR24222629,SRR2175774,SRR14842365,SRR14842348,SRR14842392,SRR14842337,ERR12814474,MS10790,SRR7774470,SRR2240290,SRR14842398,SRR14842390,SRR14842404,ERR1560095,SRR14842353,SRR1944873,SRR2175776,ERR12074385,SRR24222626,SRR14842367,SRR2240728,SRR14842403,SRR2175647,SRR1952575,SRR14842399,SRR1952620,SRR14842395,SRR7774472,SRR1952618,SRR14842344,SRR7774476,SRR14842331,SRR1952531,SRR2175727,SRR14842332,SRR14842418,SRR1952501,SRR25620786,SRR14842426,SRR2175792,SRR14842357,SRR14842355,SRR14842340,SRR14842333,SRR14842407,SRR25620681,SRR14842351,SRR14842356,SRR14842386,SRR14842421,SRR14842394,SRR14842391,SRR14842377,SRR14842326,SRR14842378,SRR2175649,SRR25620790,MS11103,SRR7774473,SRR2175768,MS10904,SRR24222625,SRR14842350,ERR12074386,SRR14842409,SRR1952418,SRR1952344,SRR14842359,SRR14842406,SRR14842324,SRR2175777,SRR14842335,ERR1560094,SRR14842410,SRR14842363,SRR14842401,SRR14842364,SRR14842382,SRR14842328,SRR14842346,ERR12814470,SRR14842343,SRR14842414,SRR14842342
0,1410028,67034718,3217293,7943122,2299426,883180,956354,3696480,3343044,18542919,955004,482984,1155955,1800455,1482266,729778,2104585,7890592,4060375,740734,1195767,4790258,1003170,3310916,1659093,2835516,2771928,1284136,65622413,1099886,3022447,22119219,73103708,1221432,1537755,1967171,2139240,761758,2273128,1658587,1808404,23109808,2407397,1399969,2225741,5068337,3750825,2061300,724503,2015236,249810,5929172,989083,7522215,792607,4651553,2491165,2194193,1648089,244119,2252242,4070805,4633136,2374915,5552221,2561543,3361816,2025754,572416,5445928,27884630,27844981,1061767,2124617,23949535,15644284,3644149,4887296,4274077,1411882,1265982,27727163,2237427,3350449,15450836,3329767,1207939,1153442,92205,962836,1782490,1416401,2382525,35845188,2552401,1326943,2574475,1415768,6034221,1517230,36637316,1222108,852747,2378393,2174724,2473233,2322906,3936402,1932937,1547175,17211331,1358933,618030,15440103,780078,2385451,1444347,1751505,1858354,23428032,5094515,11764623,2106442,2145847,2003556,2235995,40684255,1986279,454748,1108518,26371596,56117783,3382304,5014483,2998550,634632,3677749,1901618,2532183,940612,40344071,2731661,15495389,22802023,2265637,2490214,2587573,2592638,2875149,1399328,1568009,5885606,1715301,1457947,3004791,1507889,422987,4549766,1535793,1287135,744815,1480216,1125324,851095,1259739,939350,1547509,1596365,1262400,1742785,35709425,41239522,2871627,3845136,30201655,1528695,26855501,2475209,632608,3418591,2578250,2960785,13251213,1546716,1767986,35212736,3006382,180702,2743559,2733865,1301743,2756436,660805,24063904,582597,2229399,1076419
1,349698,1728062,265991,8788975,4572159,1000772,1387956,6104600,4292426,60903,1695408,82468,17718,14566,1397418,1180619,1413005,12091596,103896,749322,1965667,1960477,1435655,975623,1526528,729102,754982,194807,1528423,137504,739949,148762,809739,1109084,211569,1022949,724545,675070,1262457,1700864,2968880,183728,1066460,249273,1018393,4731965,74026,2447025,471100,2111558,102239,6328539,377421,6520864,372716,1983239,3347895,1617927,990905,260760,1687291,1002102,6060156,2037238,7505441,420950,807935,1091229,99637,4601007,211790,443986,251872,2603302,414414,105355,279660,718360,4715767,895375,24012,371019,3014522,1454864,133541,615863,2245483,2859030,44677,2181157,2268016,657954,1371102,120401,1180656,20446,867249,1049234,9446371,662193,340419,5068979,677337,1267331,8202594,596549,449185,4419561,1634409,1217541,3131549,1853315,73876,52075,1412164,661029,1094197,323801,357840,230433,164459,61289,1575068,995895,1083893,1190217,134063,388396,564311,1884747,211495,236804,1603206,11298320,1066490,593115,4332883,1596937,5855918,1124134,1009179,5919762,3396596,133124,185149,1532663,5822218,809780,1548658,1319099,13846,1091937,1389553,318670,1872944,285175,127314,342974,28460,1060488,402153,263659,748275,147498,161035,361234,917032,859418,553325,13584,984729,1061966,1974769,94289,121295,230209,364278,303555,690636,7115986,417799,503447,4494857,964534,418109,69874,343799,19016,1378933,1554602,665642,767668,196999,201677,242094,772211,249283
131567,343366,1727185,265615,8737161,4538391,891378,1176486,6104326,4168587,60652,1647176,81981,17696,14521,1396403,1137980,1399114,12027109,103816,641034,1899363,1922712,1395453,974591,1525990,728242,749576,193732,1527199,125681,731886,148334,808942,1103879,210912,1021785,724308,657057,1260238,1692563,2954195,181302,1065028,243461,1018143,4727421,73958,2446825,469485,2109429,101646,6308803,373023,6510017,370184,1980804,3347515,1611147,952989,256796,1686476,990497,6054780,2035811,7482865,420275,801022,1064498,99339,4573235,210707,440271,249679,2602830,409559,104688,278896,714950,4278053,892117,23961,370209,2932868,1409989,133238,599206,2234617,2839785,44602,2096294,2265155,653156,1369890,119224,1177833,20389,865938,1037833,9361088,658945,335626,4977826,674958,1266591,7362537,592357,444000,4414531,1631060,1208543,3128389,1844919,73712,51854,1406461,656590,1061567,311015,357410,229980,164365,60917,1573999,994916,1083092,1189858,124544,388175,562541,1569834,210849,235657,1586192,11296710,1065923,592592,4108820,1543871,5769875,1085352,1007008,5802508,3293378,132440,185038,1528279,5821984,809588,1536142,1304357,13819,1082932,1382804,317863,1865964,281586,127110,327714,28406,1042661,401689,262223,748116,147268,160179,360966,886132,853529,546048,13539,984197,1059685,1947715,94142,120778,229528,361803,303374,680721,6882133,416329,502320,4431985,938717,413080,66833,343363,18888,1320670,1552815,663233,757928,194690,201180,241216,771564,244883
2,342240,1672142,264141,8733515,4533867,890890,1175920,6102076,4166500,51053,1645914,81707,16827,12481,1394170,1136919,1396953,12022695,101103,640619,1897453,1919749,1394161,972519,1524726,726325,747906,192327,1242975,125026,693817,139811,767821,1103020,209393,1020622,722368,656382,1257945,1690899,2937509,82496,1062673,242634,1016566,4723777,68427,2446188,469238,2108641,101384,6306311,372307,6504207,369680,1976101,3346225,1605401,947654,256677,1685070,986906,5988389,2034736,7480282,418356,798952,1063087,98951,4571793,200817,411076,249098,2598337,149192,100600,276960,711171,4250759,889025,22622,357896,2930086,1407785,126854,597145,2234065,2839291,44544,2094549,2263792,652076,1367962,110441,1176789,19156,864238,1037288,9358396,652657,309956,4976721,674531,1264868,7361084,578028,440078,4407982,1629348,1207078,3125339,1840545,73444,39756,1406065,655250,1059703,310140,355565,220831,156339,56639,1570524,993350,1081781,1188249,97586,387038,562191,1568823,114900,184137,1584516,11292395,1064413,591362,4106648,1542480,5767983,1084385,975288,5800921,3290112,121077,184285,1527423,5820227,807944,1534802,1303675,12359,1079672,1381934,317047,1863899,277211,126942,326310,26395,1041154,401225,261365,747372,146835,159649,360432,878780,852534,539057,11533,898812,1023444,1945965,90138,97211,227935,151192,301817,680091,6880448,414911,499905,4409793,937899,411770,51948,341431,18435,1318695,1550624,662417,750209,192859,192410,240894,770145,243555
1224,197569,76979,788,91325,371,22669,969,160668,1884,11186,1422986,6401,3072,4221,10325,950814,289586,3692,5080,3761,1600323,1314476,932634,2059,1297,1774,202346,36437,321363,17128,171299,79530,174998,7606,8665,26034,1013,369530,26418,9937,11646,32321,25043,54217,8629,7443,7652,186,183,283,16891,51597,69024,1734,26693,51209,2195,188738,551703,61,10034,83664,1981,80,343,5994,252258,59086,1244,17057,21107,94413,50487,2145,56577,5672,13582,34566,26413,89808,2592,248200,2316637,892595,77698,178847,0,1326,1552,1983811,1386,44958,24732,16237,61105,6208,28211,190,28048,157428,10599,12466,357,4247,6898,28060,61422,127674,34562,182425,3817,4084,1313,7825,93,98383,808276,17156,5318,140694,31726,25961,6870,133,5614,4699,9627,176,143,493,53890,45466,272919,78880,2827,618,6560,1111347,422,814584,105553,122,2896695,18904,235,647,711,1013,492681,2821,2263,90313,1540,14016,86885,41065,2048,268861,7244,368569,3511,8298,3025,2147,7906,2368,499617,35688,498,4326,42218,95219,3597,33605,19703,7726,63441,1001,339,1793,532,11283,1561758,14432,101992,6556,3196,3730,64998,24268,49091,86033,17159,104435,48975,1068,64657
1236,192477,13150,691,15206,86,3686,465,10512,1577,923,1406752,6262,191,526,78,939720,285723,3523,1974,3715,1582111,1301622,921784,0,1253,253,199848,34600,79225,16745,164633,548,12691,7399,7532,25272,271,365059,25208,296,1583,1865,24526,51649,7123,5647,1978,94,67,241,14701,3955,67952,1554,25047,43111,2089,185010,540518,53,8662,80846,1683,0,176,3330,248636,58009,1107,1672,6251,80440,49539,2044,7214,3788,13278,30982,24418,88236,261,1249,2290591,882252,728,172991,0,1303,1270,1961126,1063,41864,23671,11922,56851,441,27306,105,133,152100,2080,12197,267,3830,6713,23268,58526,6016,33544,179939,3696,3574,1153,644,88,97095,798159,16814,4727,3915,14061,22382,6726,120,4630,4396,1691,91,127,241,3640,3440,265784,4990,2756,574,6117,1098135,342,804313,42111,0,2854040,9596,0,569,466,202,486168,95,290,85791,1440,13337,85618,39515,1622,264639,334,363614,3353,7852,2768,1990,7538,1967,489137,35089,202,777,5174,35591,0,3701,1663,6569,12341,640,156,1545,225,9881,1528537,1143,99671,1100,2284,3332,63580,23365,48326,78495,14990,8144,44351,0,59898
91347,187310,551,656,949,0,1735,377,0,1371,0,1378004,6016,0,62,0,911751,277786,1072,365,3547,1543107,1286747,893287,0,1175,177,195596,33534,2676,16084,160024,0,1159,7216,7282,24654,255,354480,24500,286,1470,117,23834,50249,6276,5024,154,77,0,154,14333,3680,65702,550,24372,41544,1977,181401,526464,0,8267,78438,1196,0,76,3231,243024,56356,1056,123,5291,76262,48053,1971,588,3068,12779,30003,23692,86382,0,0,2242553,852772,0,168260,0,1102,1210,1911486,55,40426,22984,9881,55455,0,26241,0,0,148761,227,8898,256,3616,6395,22521,56847,466,32521,175498,1910,2117,1071,0,81,93500,774896,15949,4581,0,962,16358,6428,0,4314,4231,144,83,68,210,0,263,257405,3830,2432,527,5634,1069394,105,781050,12015,0,2740663,2611,0,0,351,0,477721,0,61,82884,1165,12952,81785,38495,1539,256356,0,351157,3250,7463,2695,1872,7309,1482,477006,33798,180,86,309,9919,0,73,125,6349,451,611,58,1242,207,9493,1462136,1060,96887,115,2147,2726,61766,22700,47056,76275,14469,140,43621,0,57438
543,167532,279,609,804,0,1556,360,0,1291,0,1283734,5466,0,0,0,840587,254228,1002,252,3176,1426724,1232944,732578,0,1069,131,182753,30798,349,14738,137283,0,292,6683,6727,22908,0,326388,22538,269,1327,0,21962,46613,5643,4677,54,71,0,144,13471,3279,60166,489,22616,35560,1858,169535,485527,0,7611,72018,1113,0,73,2909,226022,52083,960,115,4716,72217,44087,1846,0,2859,11739,27736,20090,80712,0,0,2081228,773420,0,155699,0,1014,1033,1761872,0,37095,21317,8849,51591,0,24312,0,0,65676,0,8321,240,3293,5896,20818,52295,420,30141,153515,83,1989,935,0,78,85162,707636,14380,3434,0,820,108,6031,0,3991,3852,0,57,63,189,0,0,244005,3618,2002,498,5332,979555,96,713806,5301,0,2516119,573,0,0,327,0,447677,0,0,75426,1081,11992,76575,35580,1410,237139,0,322781,2717,6761,2424,1726,6704,1354,440846,31069,173,53,130,5804,0,0,0,5860,175,560,55,1169,187,8667,1359391,1004,89546,0,1968,2512,57099,21009,43722,70334,13136,0,40730,0,52641
561,13858,0,0,0,0,0,0,0,95,0,56746,271,0,0,0,20099,4770,0,0,0,19485,10540,14408,0,0,0,6599,1302,0,278,8473,0,0,419,408,825,0,19028,566,0,0,0,644,7429,0,122,0,0,0,0,907,0,866,0,670,2183,136,7550,33044,0,184,3316,0,0,0,178,8072,2182,0,0,424,7859,1545,74,0,280,860,4178,1180,3562,0,0,85971,40769,0,25014,0,83,0,27273,0,1096,225,636,850,0,264,0,0,1072,0,590,0,0,282,533,2585,0,371,1919,0,111,0,0,0,3000,23410,255,64,0,0,0,465,0,115,0,0,0,0,0,0,0,1524,145,0,0,121,17146,0,11163,349,0,48633,272,0,0,0,0,16113,0,0,3568,0,357,3560,1727,0,5630,0,9661,186,75,173,117,67,0,28944,369,0,0,0,486,0,0,0,853,0,0,0,0,0,515,64401,58,2993,0,136,106,2058,204,681,3301,488,0,2885,0,3855
564,3817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,52,0,0,64,0,0,0,0,0,0,0,0,0,4742,0,0,0,0,0,0,0,0,0,0,0,1015,0,0,16728,0,0,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2665,0,0,0,0,0,14849,0,16154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994,0,0,0,0,0,0,0,0,1101,0,0,0,0,0,950,0,70,0,0,0,0,0,0,14053,0,0,0,0,0,0,0,0,526,0,0,0,0,0,0,493,0,465,0,0,0,0,0,0,121,53,0,0,0,1734
